ADDRESS,PRICE,BEDS,BATHS,SQUARE FEET,AGE,YEAR BUILT,HOA/MONTH
4010 Coronado Pkwy #208,150000,3,2.5,2183,48,1972,506
5217 Coronado Pkwy #201,118500,2,2,1168,26,1994,200
2510 SE 16th Pl #201,95000,2,2,1073,38,1982,
4549 SE 5th Pl #116,190000,2,2,1256,44,1976,335
1783 Four Mile Cove Pkwy #243,175900,2,2,1226,16,2004,330
4020 SE 20th Pl #3,175000,2,2,1272,41,1979,
1783 Four Mile Cove Pkwy #242,230000,3,2,1330,16,2004,350
309 Cape Coral Pkwy W #204,120000,2,2,960,40,1980,390
3911 Country Club Blvd #202,94000,2,2,1026,34,1986,
4803 Sunset Ct #704,133900,2,2,1192,52,1968,552
5111 Manor Ct #5,175000,3,2,1457,42,1978,500
4619 SE 5th Pl #2,118000,2,2,978,40,1980,300
1317 SE 46th Ln #202,237500,2,2,1465,37,1983,325
809 SE 46th Ln #109,165000,2,2,1176,40,1980,
808 SE 46th St Unit 1B,152250,2,2,1199,41,1979,400
1609 SW 51st St #202,131000,2,1.5,839,36,1984,
4925 SW 16th Pl #103,155000,2,2,1148,14,2006,300
5781 Cape Harbour Dr #702,395000,3,2,1737,14,2006,
4315 SE 5th Ave #5,150000,2,3,1418,41,1979,
4525 Country Club Blvd #210,175000,2,2,1195,37,1983,309
1516 SW 50th St #201,180000,2,2,1280,16,2004,130
1120 SE 46th St Unit 1A,149000,2,2,1211,44,1976,405
1407 SW 16th Ter #102,93000,2,2,1186,37,1983,250
4230 SE 20th Pl #306,285000,3,2,1593,33,1987,
1509 SW 51st Ln #146,144000,2,2,953,34,1986,335
5781 Cape Harbour Dr #502,395000,3,2,1737,14,2006,
4513 SW 8th Ct #114,74500,2,1,820,36,1984,250
708 Victoria Dr #105,96000,1,1,682,54,1966,337
1004 SE 8th St #104,112000,2,2,922,36,1984,200
2620 Somerville Loop #2003,197000,3,2,1373,14,2006,197
1799 Four Mile Cove Pkwy #924,222500,2,2,1226,16,2004,350
2637 Anguilla Dr,262000,2,2,1542,6,2014,421
1789 Four Mile Cove Pkwy #515,210000,3,2,1330,16,2004,
1404 Del Prado Blvd S Unit J145,70000,,,855,37,1983,
4005 Palm Tree Blvd #302,165000,2,2,1216,18,2002,
4210 SE 19th Ave Unit 2F,300000,3,2,1535,42,1978,511
4202 SE 4th Pl #7,100000,2,2,1094,52,1968,
4115 SE 18th Pl #103,215000,2,2,1362,43,1977,
4210 SE 19th Ave Unit 1I,190000,2,2,1277,42,1978,
4034 SE 12th Ave #203,174500,2,2,1380,41,1979,
1404 Del Prado Blvd S Ste 115,155000,,,1629,37,1983,
4229 SE 19th Pl Unit 2A,211000,2,2,1360,43,1977,
4235 SE 20th Pl Unit A305,446000,3,3,1805,15,2005,
4116 SE 20th Pl #101,209000,2,2,1410,40,1980,450
1206 SE 6th St #103,96000,2,2,980,24,1996,
4260 SE 20th Pl #607,181500,2,2,1065,47,1973,364
4704 SW Santa Barbara Pl #104,205000,2,2,1111,31,1989,425
5109 Coronado Pkwy #106,116900,2,2,1014,39,1981,380
1791 Four Mile Cove Pkwy #616,220000,3,2,1395,16,2004,
2627 Somerville Loop #605,205000,3,2,1725,14,2006,197
707 SW 3rd Ct #102,124600,2,2,1154,34,1986,
1321 SW 16th Ter #102,97700,2,2,1166,37,1983,325
5781 Cape Harbour Dr #1205,352000,2,2,1393,14,2006,
5793 Cape Harbour Dr #1013,320000,2,2,1276,13,2007,
1522 SW 50th St #203,168000,2,2,1096,16,2004,175
1003 SW 47th Ter #104,170000,2,2,1203,36,1984,
5793 Cape Harbour Dr #911,383900,3,2,1544,13,2007,
1315 SW 47th Ter #3,197500,2,2.5,1020,16,2004,
4563 SE 5th Pl #205,156000,2,2,1170,40,1980,340
4543 SE 6th Pl Unit 1F,163000,2,2,1216,41,1979,
4423 Country Club Blvd Unit C1,135000,2,2,1234,41,1979,
4550 SE 5th Pl #103,145000,2,2,1022,31,1989,
4550 SE 5th Pl #203,160248,2,2,1022,31,1989,350
4619 SE 5th Pl #7,90000,1,1,680,40,1980,
4613 SE 5th Ave #203,148000,2,2,1117,54,1966,450
4604 SE 5th Pl #203,264000,2,2,1319,16,2004,290
4710 SE 6th Ave #5,70000,1,1,770,39,1981,300
4550 SE 5th Pl #202,155000,2,2,1022,31,1989,350
3914 SW 8th Ct #101,114900,2,2,877,34,1986,302
2612 Somerville Loop #2205,200000,2,2,1536,14,2006,197
1789 Four Mile Cove Pkwy #513,185000,2,2,1226,16,2004,330
5936 Tarpon Gardens Cir #202,325000,3,3,2548,16,2004,
5019 SW 16th Pl #202,89900,2,1.5,839,36,1984,279
1521 SW 47th Ter #103,155000,2,2,980,34,1986,330
521 SW 47th Ter #105,150000,2,2,948,34,1986,335
1808 William Reggie Rd #226,219900,3,2,1472,3,2017,195
1805 Samantha Gayle Way #115,199900,2,2,1107,3,2017,195
1808 William Reggie Rd #222,219900,3,2,1470,3,2017,195
3808 Agualinda Blvd #304,210000,2,2,1663,14,2006,400
5781 Cape Harbour Dr #802,394000,3,2,1737,14,2006,615
2652 Somerville Loop #1204,205000,3,2,1725,14,2006,524
2133 Pine Ln #4,179500,2,2,1556,41,1979,
2652 Somerville Loop #1205,192500,3,2,1725,14,2006,524
1827 SE 41st St Unit 2E,195000,2,2,1272,45,1975,
4703 SE 17th Pl #302,242500,2,2,1156,37,1983,
1011 SE 38th Ter #2203,135000,2,2,917,37,1983,
4007 Palm Tree Blvd #203,150000,2,2,1150,17,2003,146
3813 SE 11th Pl #1207,198500,2,2,1008,39,1981,
4802 Tudor Dr #108,114000,2,1,908,56,1964,
232 Cape Coral Pkwy E #201,102000,2,2,1078,36,1984,400
159 SW 47th Ter #204,210000,2,2,1150,33,1987,493
4807 Sunset Ct #205,119000,2,2,1192,52,1968,
4975 Viceroy St #210,170000,2,2,1393,38,1982,
4961 Viceroy St #101,135000,2,2,1090,35,1985,370
4632 SE 5th Pl #6,209000,2,2,1182,38,1982,400
815 Victoria Dr #106,98000,2,2,782,36,1984,400
5217 Coronado Pkwy #102,133000,2,2,1168,26,1994,200
720 Victoria Dr #105,249000,2,2,1260,17,2003,398
131 SW 47th Ter #106,147000,2,2,980,34,1986,
843 SE 46th Ln #201,149000,2,2,1218,44,1976,
4904 Vincennes St #106,162000,2,2,1373,37,1983,
4961 Viceroy St #202,130000,2,2,1120,35,1985,370
4938 Vincennes St #2,197500,2,2,1862,43,1977,577
5111 Santa Rosa Ct Unit 2E,205000,3,2,1584,42,1978,550
2648 Somerville Loop #1303,169500,2,2,1373,14,2006,196
159 SW 47th Ter #102,124450,2,2,1187,33,1987,463
159 SW 47th Ter #103,195000,2,2,1150,33,1987,433
621 SE 12th Ave #119,100000,2,2,982,39,1981,
1510 SW 50th St #301,180000,2,2,1280,16,2004,380
5510 SW 4th Pl #602,196810,2,2,1526,30,1990,
1220 Miramar St #110,127000,2,2,1408,40,1980,
4511 SE 6th Pl #2,107000,2,2,1059,41,1979,
4912 Vincennes St #206,127500,2,2,1094,47,1973,
928 SE 46th St Unit 2B,114000,2,2,1155,48,1972,406
853 SE 46th Ln #205,149000,2,2,1160,39,1981,
1120 SE 46th St Unit 2G,153000,2,2,1250,44,1976,425
824 SE 46th St Unit 2B,130000,2,2,1344,44,1976,
4205 SE 19th Ave #202,130000,2,2,958,34,1986,
4105 SE 19th Pl #102,264000,2,2,1296,43,1977,314
4002 SE 20th Pl #4,180000,2,2,1272,40,1980,
4115 SE 18th Pl #203,195000,2,2,1362,43,1977,
1713 Beach Pkwy #303,342500,3,2,1434,14,2006,
1640 Beach Pkwy #102,356400,3,3,1873,15,2005,
4006 SE 20th Pl #3,255000,2,2,1296,40,1980,
1345 SE 40th Ter Unit 1B,185000,2,2,1339,43,1977,230
5830 Littlestone Ct,139500,2,2,1211,35,1985,400
4719 SE 17th Pl #208,200000,2,2,1124,36,1984,
1714 Bikini Ct #103,154500,2,2,1139,47,1973,
1322 Pamplico Ct,268000,2,2,1542,5,2015,422
2628 Somerville Loop #1805,166000,3,2,1725,14,2006,197
2664 Somerville Loop #905,186000,2,2,1725,12,2008,
2612 Somerville Loop #2204,210000,2,2,1373,14,2006,
2640 Somerville Loop #1508,205000,2,2,1650,14,2006,196
2648 Somerville Loop #1305,209000,3,2,1725,14,2006,197
1617 SE 26th St #102,116000,2,2,1066,39,1981,310
5781 Cape Harbour Dr #1309,450000,3,2,1737,14,2006,607
5793 Cape Harbour Dr #918,335000,2,2,1276,13,2007,
5781 Cape Harbour Dr #1109,451000,3,2,1737,14,2006,
1427 SW 47th Ter #204,163000,2,2,1053,30,1990,400
5793 Cape Harbour Dr #1318,325000,2,2,1276,13,2007,
1510 SW 50th St #102,195000,2,2,1280,16,2004,175
3804 Agualinda Blvd #202,220000,2,2,1518,14,2006,
1669 Edith Esplanade #206,211000,2,2,1140,48,1972,367
1729 Beach Pkwy #101,205000,2,2,1241,41,1979,
1941 Beach Pkwy #211,200000,3,2,1534,43,1977,
4014 SE 20th Pl #3,249000,2,2,1296,41,1979,
1766 Cape Coral Pkwy E #510,140000,2,2,1082,55,1965,325
4004 SE 20th Pl #2,217000,3,2,1625,40,1980,
1671 Edith Esplanade #208,236600,3,2.5,1625,48,1972,524
4235 SE 20th Pl Unit A302,430000,3,3,1790,19,2001,
917 SE 36th St #101,334000,2,2.5,1738,16,2004,368
1005 SE 40th St #7,145000,2,2,1110,38,1982,400
4011 Palm Tree Blvd #302,150000,2,2,1198,16,2004,
4011 Palm Tree Blvd #308,170000,2,2,1391,16,2004,146
609 SE 15th St #107,120000,2,2,947,36,1984,
635 SE 12th Ave #130,108000,2,2,982,39,1981,
3711 Del Prado Blvd S #9,150000,2,2,998,38,1982,375
3711 Del Prado Blvd S #5,129500,2,2,998,38,1982,375
1206 SE 6th St #104,97500,2,2,980,24,1996,345
4513 SW 8th Ct #109,73000,1,1,694,36,1984,250
1003 SW 47th Ter #203,164300,2,2,1203,36,1984,400
1429 Cape Coral Pkwy W #9,114700,2,2,1061,36,1984,320
713 SW 47th Ter #202,100000,2,2,954,32,1988,
4526 SW 7th Pl,150000,2,2,1012,19,2001,
4708 SW 8th Pl #104,135000,2,2,1046,34,1986,
4634 SW 12th Pl #218,220000,3,2,1652,29,1991,
505 SW 47th Ter #106,138750,2,2,948,34,1986,
521 SW 47th Ter #102,145000,2,2,948,34,1986,335
922 SW 48th Ter #214,174700,2,2,1072,33,1987,428
841 SW 47th Ter #205,245000,3,2,1523,17,2003,300
4513 SW 8th Ct #110,90000,2,1,819,36,1984,
505 SW 47th Ter #102,154000,2,2,948,34,1986,
1124 SW 48th Ter #107,205000,2,2,1313,38,1982,480
1123 SW 48th Ter #105,120500,2,2.5,908,39,1981,400
713 SW 47th Ter #204,125000,3,2,1086,32,1988,355
922 SW 48th Ter #213,199000,2,2,1072,33,1987,425
4202 SE 4th Pl Unit E7,100000,2,2,1094,52,1968,359
4017 Palm Tree Blvd #207,154900,2,2,1198,18,2002,152
4240 SE 20th Pl #314,195000,2,2,1133,32,1988,
1011 SE 40th St Unit A,175000,2,2,1102,42,1978,
