Address,Price,Beds,Baths,Sqft
"2910 W North Ave APT 4, Chicago, IL 60647Sold",320000,3,2,"1,350"
"1750 N Talman Ave, Chicago, IL 60647Sold",719900,4,4,"1,880"
"1655 N Humboldt Blvd # 1R, Chicago, IL 60647Sold",207000,2,1,800
"2076 N Stave St APT 1B, Chicago, IL 60647Sold",425000,3,3,"1,600"
"2021 N Kedzie Ave APT 3B, Chicago, IL 60647Sold",354500,2,2,"1,200"
"1939 N Sawyer Ave # 1, Chicago, IL 60647Sold",345000,2,2,"1,200"
"1740 N Maplewood Ave APT 407, Chicago, IL 60647Sold",405000,2,2,"1,170"
"1818 N Whipple St, Chicago, IL 60647Sold",899000,4,3.5,"3,900"
"1942 N Mozart St, Chicago, IL 60647Sold",932500,4,4,"3,300"
"1818 N Whipple St, Chicago, IL 60647Sold",899000,2,1,850
"1643 N Albany Ave, Chicago, IL 60647Sold",670000,4,4,"3,000"
"1854 N Kedzie Ave # 2, Chicago, IL 60647Sold",281000,2,2,"1,000"
"1737 N Talman Ave, Chicago, IL 60647Sold",597500,4,4,"2,350"
"1929 N Whipple St, Chicago, IL 60647Sold",775000,4,4,"3,500"
"2720 W Cortland St APT 403, Chicago, IL 60647Sold",308500,2,1.5,"1,050"
"2025 N Bingham St, Chicago, IL 60647Sold",300000,3,3.5,861
"1617 N Albany Ave, Chicago, IL 60647Sold",740000,5,4,"3,000"
"1615 N Albany Ave, Chicago, IL 60647Sold",740000,5,4,"3,000"
"1622 N Richmond St, Chicago, IL 60647Sold",640000,4,4,"2,700"
"1833 N Talman Ave, Chicago, IL 60647Sold",750000,3,4,"3,000"
"3114 W Cortland St, Chicago, IL 60647Sold",539000,4,3,"2,000"
"2066 N Stave St, Chicago, IL 60647Sold",675000,4,3,"1,928"
"2052 N Bingham St, Chicago, IL 60647Sold",300000,3,2,"1,370"
"2045 N Kedzie Ave APT A1, Chicago, IL 60647Sold",420000,2,3,"1,837"
"1935 N Fairfield Ave APT 213, Chicago, IL 60647Sold",275000,1,1,800
"2735 W Armitage Ave APT 307, Chicago, IL 60647Sold",355000,2,2,"1,200"
"2045 N Kedzie Ave APT A3, Chicago, IL 60647Sold",420000,2,2,"1,200"
"2740 W Armitage Ave APT 306S, Chicago, IL 60647Sold",380000,2,2,"1,100"
"2013 N Whipple St, Chicago, IL 60647Sold",975000,5,4,"3,102"
"1821 N Mozart St, Chicago, IL 60647Sold",615000,6,4,"3,048"
"3256 W Armitage Ave UNIT 4, Chicago, IL 60647Sold",380000,3,3,"2,200"
"2735 Armitage #307, Chicago, IL 60647Sold",355000,2,2,"1,200"
"1740 N Maplewood Ave APT 408, Chicago, IL 60647Sold",379000,2,2,"1,107"
"1712 N Washtenaw Ave # G, Chicago, IL 60647Sold",120000,2,1,750
"2054 N California Ave APT A, Chicago, IL 60647Sold",417000,3,2,"1,425"
"1711 N Whipple St, Chicago, IL 60647Sold",799900,6,3,"1,000"
"2038 N Stave St # 1, Chicago, IL 60647Sold",540000,3,3,"1,564"
"2108 N Bingham St, Chicago, IL 60647Sold",890000,4,4,"3,000"
"1834 N Kedzie Ave APT 1F, Chicago, IL 60647Sold",356000,2,3,"1,600"
"1631 Richmond, Chicago, IL 60647Sold",648000,7,3,"4,884"
"2808 W North Ave UNIT 4W, Chicago, IL 60647Sold",465000,3,3,"2,100"
"1655 N Fairfield Ave APT 401, Chicago, IL 60647Sold",250000,2,2,"1,200"
"2019 Whipple St ##3, Chicago, IL 60647Sold",420000,2,2,"1,000"
"1712 N Washtenaw Ave # 2B, Chicago, IL 60647Sold",170000,2,1,800
"1712 N Washtenaw Ave APT 2R, Chicago, IL 60647Sold",170000,2,1,850
"2040 N Stave St, Chicago, IL 60647Sold",752500,4,4,"3,100"
"1935 N Fairfield Ave APT 205, Chicago, IL 60647Sold",270000,2,1,950
"1822 N California Ave, Chicago, IL 60647Sold",690000,4,5,"3,200"
"1934 N Washtenaw Ave APT 412, Chicago, IL 60647Sold",297500,2,1,950
"1816 N Rockwell St # C, Chicago, IL 60647Sold",480000,4,3,"2,200"
"1702 N Talman Ave, Chicago, IL 60647Sold",689000,4,4,"2,128"
"1924 California #1, Chicago, IL 60647Sold",515000,3,3,"2,600"
"1740 N Maplewood Ave APT 310, Chicago, IL 60647Sold",260000,1,1,900
"1740 N Maplewood Ave APT 201, Chicago, IL 60647Sold",307500,2,2,"1,200"
"1706 N Rockwell St # 2, Chicago, IL 60647Sold",865000,3,3.5,"2,306"
"1922 N Washtenaw Ave # 1E, Chicago, IL 60647Sold",362000,3,1,"2,500"
"2048 N Whipple St, Chicago, IL 60647Sold",391000,5,3,"2,650"
"2056 N Sawyer Ave APT 2B, Chicago, IL 60647Sold",165000,1,1,700
"1714 N Maplewood Ave, Chicago, IL 60647Sold",680000,4,4,"3,100"
"2541 W Cortland St # 1, Chicago, IL 60647Sold",590000,2,1,850
"1740 N Maplewood Ave APT 204, Chicago, IL 60647Sold",347500,2,2,"1,180"
"1924 N California Ave # 2, Chicago, IL 60647Sold",395000,2,2,"1,300"
"1620 N Humboldt Blvd # 1, Chicago, IL 60647Sold",495000,4,3,"2,900"
"1749 N Talman Ave, Chicago, IL 60647Sold",785000,4,5,"4,290"
"1847 Kedzie #3N3N, Chicago, IL 60647Sold",360000,2,2,"1,000"
"1847 Kedzie #3SS, Chicago, IL 60647Sold",370000,2,2,"1,000"
"1624 N Fairfield Ave, Chicago, IL 60647Sold",480000,2,1,"1,008"
"1847 Kedzie #2N2N, Chicago, IL 60647Sold",330000,2,2,"1,000"
"2771 W Francis Pl UNIT 201N, Chicago, IL 60647Sold",329000,2,2,"1,100"
"2735 W Armitage Ave APT 407, Chicago, IL 60647Sold",347000,2,2,"1,200"
"1847 Kedzie #2SSS, Chicago, IL 60647Sold",320000,2,2,"1,000"
"1707 N Francisco Ave, Chicago, IL 60647Sold",290000,3,1,"1,713"
"1943 N Albany Ave, Chicago, IL 60647Sold",630000,4,4,"3,000"
"3218 W Wabansia Ave # 1, Chicago, IL 60647Sold",385000,6,3,"2,932"
"1729 N Washtenaw Ave, Chicago, IL 60647Sold",636000,4,4,"2,300"
"1711 N Talman Ave, Chicago, IL 60647Sold",699000,4,4,"2,400"
"1906 Campbell #A, Chicago, IL 60647Sold",764885,3,4,"2,500"
"1915 N Kedzie Ave, Chicago, IL 60647Sold",740000,4,3,"2,500"
"2511 W Moffat St APT 203, Chicago, IL 60647Sold",386500,2,2,"1,115"
"1623 N Rockwell St, Chicago, IL 60647Sold",850000,4,4,"3,000"
"2511 W Moffat St APT 503-F, Chicago, IL 60647Sold",335000,1,1,"1,150"
"2045 N Kedzie Ave APT A2, Chicago, IL 60647Sold",367500,2,2,"1,024"
"1816 N California Ave APT 3S, Chicago, IL 60647Sold",499000,2,2,"1,400"
"1623 Rockwell, Chicago, IL 60647Sold",850000,4,4,"3,000"
"1923 N Humboldt Blvd # 4, Chicago, IL 60647Sold",362500,3,2,"1,300"
"2061 N Bingham St, Chicago, IL 60647Sold",340000,4,4,"1,368"
"2511 W Moffat St APT 106E, Chicago, IL 60647Sold",340000,1,2,"1,018"
"1743 N Maplewood Ave, Chicago, IL 60647Sold",968000,2,1,"1,578"
"1938 Francisco #4S, Ave, IL 60647Sold",551000,3,2,"9,999"
"2524 W Moffat St, Chicago, IL 60647Sold",378000,4,4,"3,300"
"2558 W Bloomingdale Ave, Chicago, IL 60647Sold",520000,3,3,"2,250"
"1643 N Humboldt Blvd # 2, Chicago, IL 60647Sold",338000,2,2,"1,400"
"1935 N Sawyer Ave # 3N, Chicago, IL 60647Sold",365000,3,2,"1,584"
"1710 N Francisco Ave, Chicago, IL 60647Sold",625000,4,4,"3,525"
"2034 N Humboldt Blvd APT 3W, Chicago, IL 60647Sold",260500,2,1,920
"1925 N Humboldt Blvd # 3, Chicago, IL 60647Sold",365000,3,2,"1,250"
"1663 N Francisco Ave, Chicago, IL 60647Sold",590000,3,2,"2,543"
"2021 N Kedzie Ave APT 2F, Chicago, IL 60647Sold",360000,2,2,"1,350"
"2518 Cortland, Chicago, IL 60647Sold",770000,3,3,"2,000"
"2034 N Humboldt Blvd APT 3E, Chicago, IL 60647Sold",260400,3,2,"1,400"
"2720 W Cortland St APT 401, Chicago, IL 60647Sold",331000,2,2,980
"1640 N Rockwell St UNIT 2, Chicago, IL 60647Sold",515000,3,2,"1,700"
"1915 N Francisco Ave # 1, Chicago, IL 60647Sold",580000,4,4,"2,600"
"1817 N Rockwell St, Chicago, IL 60647Sold",435000,3,2,"1,500"
"2511 W Moffat St APT 206-E, Chicago, IL 60647Sold",310000,1,2,"1,200"
"2511 W Moffat St APT 501-L, Chicago, IL 60647Sold",395500,2,2,"1,300"
"1649 N Sawyer Ave, Chicago, IL 60647Sold",320000,4,3,"1,900"
"1902 N Mozart St, Chicago, IL 60647Sold",628000,7,4,600
"2906 W North Ave, Chicago, IL 60647Sold",1.04M1,1,6,"2,800"
"1823 N Rockwell St, Chicago, IL 60647Sold",430000,3,2,"1,850"
"1827 N Albany Ave # 1, Chicago, IL 60647Sold",605000,3,4,"3,000"
"1935 N Fairfield Ave APT 108, Chicago, IL 60647Sold",275000,2,1,"1,400"
"1720 N Kedzie Ave APT K, Chicago, IL 60647Sold",225000,3,3,"1,114"
"2735 W Armitage Ave APT 304, Chicago, IL 60647Sold",335000,2,2,"1,200"
"1811 N Fairfield Ave, Chicago, IL 60647Sold",685000,4,4,"3,400"
"1740 N Maplewood Ave APT 220, Chicago, IL 60647Sold",340000,2,1,"1,037"
"1740 N Maplewood Ave # P-21, Chicago, IL 60647Sold",340000,2,1,"1,037"
"1856 N Sawyer Ave APT 303, Chicago, IL 60647Sold",248000,2,2,"1,100"
"1740 N Maplewood Ave APT 203, Chicago, IL 60647Sold",335000,2,1,"1,000"
"1811 N Rockwell St, Chicago, IL 60647Sold",480000,3,2.5,"2,250"
"1929 N Sawyer Ave # 1, Chicago, IL 60647Sold",459000,4,3,"2,650"
"1801 N Fairfield Ave, Chicago, IL 60647Sold",760000,4,4,"2,047"
"1817 N Francisco Ave, Chicago, IL 60647Sold",407500,2,2,"1,328"
"1850 N California #3, Chicago, IL 60647Sold",528500,2,2,"1,500"
"1931 N Spaulding Ave # 1, Chicago, IL 60647Sold",750000,4,2,"1,754"
"2042 N Point St # 1, Chicago, IL 60647Sold",562000,4,3,"2,400"
"2527 W Moffat St, Chicago, IL 60647Sold",460000,2,3,"2,200"
"1930 N California Ave, Chicago, IL 60647Sold",500000,4,2,"1,399"
"1636 N Rockwell St APT 401, Chicago, IL 60647Sold",242500,2,1,900
"1740 N Maplewood Ave APT 103, Chicago, IL 60647Sold",304000,2,1,"1,000"
"1640 N Whipple St # 3, Chicago, IL 60647Sold",305000,2,2,"1,200"
"2042 N Point St # 1, Chicago, IL 60647Sold",562000,3,3,"2,400"
"1831 N Albany Ave, Chicago, IL 60647Sold",520000,4,2.5,"1,824"
"1653 N Fairfield Ave APT 103, Chicago, IL 60647Sold",160000,2,1,800
"2076 N Stave St APT 2B, Chicago, IL 60647Sold",400000,3,3,"1,585"
"2065 N Kedzie Ave APT 328, Chicago, IL 60647Sold",376500,2,2,"1,400"
"1831 N Albany Ave, Chicago, IL 60647Sold",520000,3,3,"2,700"
"1623 N Albany Ave, Chicago, IL 60647Sold",415000,4,2,"1,620"
"1759 N Fairfield Ave, Chicago, IL 60647Sold",745000,4,4,"3,000"
"1715 N Rockwell St, Chicago, IL 60647Sold",700000,4,4,"2,710"
"1740 N Maplewood Ave APT 224, Chicago, IL 60647Sold",335500,1,1,"1,050"
"2047 N Mozart St UNIT 1, Chicago, IL 60647Sold",495000,3,3,"2,100"
"1622 N Mozart St APT 1N, Chicago, IL 60647Sold",385000,3,3,"2,200"
"1714 N Talman Ave # 2S, Chicago, IL 60647Sold",341000,2,2,"1,250"
"1928 N Kedzie Ave APT 206, Chicago, IL 60647Sold",272500,2,2,"1,000"
"2046 N Stave St, Chicago, IL 60647Sold",350000,3,1.5,"1,260"
"1645 N Talman Ave, Chicago, IL 60647Sold",785000,4,4,"2,520"
"1937 N Albany Ave, Chicago, IL 60647Sold",560000,7,4,"1,300"
"2735 W Armitage Ave APT 302, Chicago, IL 60647Sold",370000,2,2,"1,350"
"3069 W Armitage Ave APT 1S, Chicago, IL 60647Sold",356000,2,2,"1,250"
"2065 N Kedzie Ave APT 109, Chicago, IL 60647Sold",387500,3,2.5,"1,500"
"1740 N Maplewood Ave # P2A, Chicago, IL 60647Sold",347000,1,1,"1,100"
"1740 N Maplewood Ave APT 211, Chicago, IL 60647Sold",268000,1,1,"1,000"
"2710 W Cortland St, Chicago, IL 60647Sold",928000,5,4,"3,400"
"2735 W Cortland St, Chicago, IL 60647Sold",830000,4,3,"3,400"
"1831 N Fairfield Ave # 1N, Chicago, IL 60647Sold",491000,4,3,"2,500"
"2512 W Bloomingdale Ave APT D, Chicago, IL 60647Sold",412500,2,2,"1,300"
"1829 N Fairfield Ave # 2S, Chicago, IL 60647Sold",399000,2,2,"1,500"
"1934 N Washtenaw Ave APT 208, Chicago, IL 60647Sold",380000,2,2,"1,200"
"1816 N Rockwell St, Chicago, IL 60647Sold",480000,3,3,"2,200"
"1817 N Mozart St, Chicago, IL 60647Sold",750000,4,4,"2,900"
"1727 N Washtenaw Ave, Chicago, IL 60647Sold",725000,4,4,"3,167"
"1701 N Washtenaw Ave APT 1E, Chicago, IL 60647Sold",485000,3,3,"1,800"
"1740 N Maplewood Ave APT 413, Chicago, IL 60647Sold",269900,1,1,880
"1845 N California Ave # 3, Chicago, IL 60647Sold",342000,3,2,"1,200"
"1645 N Humboldt Blvd # 1S, Chicago, IL 60647Sold",288000,3,2,"1,400"
"2120 N Point St # 3, Chicago, IL 60647Sold",380000,2,2,"1,300"
"1740 N Maplewood Ave APT 320, Chicago, IL 60647Sold",347500,2,1,"1,037"
"3219 W Dickens Ave # 1, Chicago, IL 60647Sold",645000,4,3,"2,736"
"2771 W Francis Pl UNIT 301N, Chicago, IL 60647Sold",346000,2,2,"1,100"
"1636 N Rockwell St APT 201, Chicago, IL 60647Sold",235000,2,1,"1,700"
"1722 N Richmond St, Chicago, IL 60647Sold",780000,5,4,"3,600"
"2800 W North Ave, Chicago, IL 60647Sold",410000,2,2,"1,480"
"1901 N Humboldt Blvd, Chicago, IL 60647Sold",289000,3,2,"1,522"
"1740 N Maplewood Ave APT 312, Chicago, IL 60647Sold",275000,1,1,"1,003"
"2800 W North Ave, Chicago, IL 60647Sold",410000,1,1,900
"1934 N Washtenaw Ave APT 213, Chicago, IL 60647Sold",280500,2,1,940
"1901 N Humboldt Blvd APT 1, Chicago, IL 60647Sold",289000,3,2,"1,600"
"1801 N Francisco Ave, Chicago, IL 60647Sold",416000,3,2,"1,278"
"2740 W Armitage Ave PENTHOUSE 3, Chicago, IL 60647Sold",435000,3,2,"1,634"
"2558 W Cortland St, Chicago, IL 60647Sold",995000,4,4,"3,600"
"1800 N Washtenaw Ave, Chicago, IL 60647Sold",800000,4,4,"3,400"
"3268 W Wabansia Ave, Chicago, IL 60647Sold",480000,4,3,"2,611"
"2740 W Armitage Ave PENTHOUSE 1, Chicago, IL 60647Sold",391000,2,2,"1,300"
"1935 N Fairfield Ave APT 409, Chicago, IL 60647Sold",290500,2,1,"1,150"
"1718 N Talman Ave # 3, Chicago, IL 60647Sold",478000,2,2,"1,358"
"1740 N Maplewood Ave APT 109, Chicago, IL 60647Sold",360000,2,2,"1,232"
"1830 N Talman Ave, Chicago, IL 60647Sold",872500,4,4,"3,000"
"3132 W North Ave, Chicago, IL 60647Sold",325500,3,2,"1,900"
"2758 W Francis Pl APT 204, Chicago, IL 60647Sold",320000,2,2,"1,089"
"1708 N Mozart St, Chicago, IL 60647Sold",610000,4,4,"2,400"
"1745 N Whipple St, Chicago, IL 60647Sold",642000,4,2.5,"2,400"
"2511 W Moffat St # P-21, Chicago, IL 60647Sold",502500,2,3,"2,200"
"1640 N Rockwell St APT 1B, Chicago, IL 60647Sold",412000,3,3,"1,800"
"1827 N Mozart St, Chicago, IL 60647Sold",550000,5,4,"2,700"
"1856 N. Rockwell, Chicago, IL 60647Sold",930000,5,4,"3,000"
"1831 N Sawyer Ave, Chicago, IL 60647Sold",760000,3,1,"1,495"
"1911 N Francisco Ave, Chicago, IL 60647Sold",357000,5,2,"2,322"
"1756 N Rockwell St, Chicago, IL 60647Sold",869000,5,4,"2,507"
"1750 N Whipple St # 1, Chicago, IL 60647Sold",752500,3,3.5,"2,360"
"2758 W Francis Pl APT 102, Chicago, IL 60647Sold",290000,2,2,"1,054"
"3262 W Armitage Ave UNIT 3, Chicago, IL 60647Sold",354000,3,3,"2,000"
"3021 W Armitage Ave APT 407, Chicago, IL 60647Sold",370000,2,2,"1,300"
"2735 W Armitage Ave APT 502, Chicago, IL 60647Sold",355000,2,2,"1,326"
"1938 N Rockwell St, Chicago, IL 60647Sold",380000,2,1,"1,200"
"1851 N Mozart St, Chicago, IL 60647Sold",600000,3,3,"3,000"
"2604 W Bloomingdale Ave, Chicago, IL 60647Sold",482000,4,3,"1,872"
"1918 N Albany Ave, Chicago, IL 60647Sold",815000,4,4,"3,100"
"1809 N Washtenaw Ave, Chicago, IL 60647Sold",665000,5,4,"2,724"
"1711 N Mozart St, Chicago, IL 60647Sold",665000,4,4,"3,100"
"1838 N California Ave, Chicago, IL 60647Sold",697500,4,5,"3,240"
"2059 N Mozart St # 1, Chicago, IL 60647Sold",615000,3,3,"2,300"
"3223 W Dickens Ave # 1, Chicago, IL 60647Sold",600000,3,4,"2,000"
"2547 W Moffat St # H3, Chicago, IL 60647Sold",405000,2,2,"1,250"
"1740 N Maplewood Ave APT 202, Chicago, IL 60647Sold",265000,1,1,950
"1743 N Washtenaw Ave # 2, Chicago, IL 60647Sold",336000,2,2,"1,100"
