Address,Price,Beds,Baths,Sqft
"1832 N Rockwell St # 3, Chicago, IL 60647Sold",540000,2,2,"1,300"
"1740 N Maplewood Ave APT 108, Chicago, IL 60647Sold",342500,2,2,"1,200"
"1700 N Whipple St, Chicago, IL 60647Sold",690000,4,3,"2,492"
"2026 N Point St, Chicago, IL 60647Sold",765000,4,4,"2,600"
"2550 N Lakeview Ave UNIT N1005, Chicago, IL 60614Sold",500000,1,1,960
"1827 N Talman Ave, Chicago, IL 60647Sold",700000,3,3,"3,000"
"3256 W Armitage Ave UNIT 6, Chicago, IL 60647Sold",382500,3,3,"2,400"
"1738 N Rockwell St, Chicago, IL 60647Sold",962500,5,4,"3,600"
"1900 N Francisco Ave, Chicago, IL 60647Sold",725000,4,4,"2,037"
"3051 W Armitage Ave # 2S, Chicago, IL 60647Sold",549000,4,3,"1,891"
"3051 W Armitage Ave # 3E, Chicago, IL 60647Sold",499000,3,2,"1,501"
"3051 W Armitage Ave # 2E, Chicago, IL 60647Sold",519000,3,3,"1,968"
"3051 W Armitage Ave # 2W, Chicago, IL 60647Sold",529000,3,3,"2,055"
"2808 W North Ave UNIT 4E, Chicago, IL 60647Sold",480000,3,3,"2,100"
"1839 N Whipple St APT 2, Chicago, IL 60647Sold",380000,3,2,"1,500"
"2021 N Kedzie Ave APT 3D, Chicago, IL 60647Sold",385000,2,2,"1,350"
"2740 W Armitage Ave APT 307S, Chicago, IL 60647Sold",400000,3,2,"1,250"
"2025 N Whipple St APT 3N, Chicago, IL 60647Sold",390000,2,2,"1,400"
"3262 W Armitage Ave UNIT 2, Chicago, IL 60647Sold",394000,3,3,"2,000"
"2624 W Armitage Ave # 4A, Chicago, IL 60647Sold",475000,3,2,"1,400"
"1950 N Richmond St, Chicago, IL 60647Sold",660000,5,4,"3,000"
"2644 W Cortland St, Chicago, IL 60647Sold",839500,4,3.5,"3,800"
"1748 N Washtenaw Ave, Chicago, IL 60647Sold",466500,4,2,"1,900"
"1642 N Mozart St, Chicago, IL 60647Sold",282500,4,1,"1,430"
"2704 W Cortland St APT 2, Chicago, IL 60647Sold",222000,2,1,750
"1726 N Kedzie Ave APT A, Chicago, IL 60647Sold",295000,3,3,"1,100"
"2735 W Armitage Ave APT 207, Chicago, IL 60647Sold",341500,2,2,"1,000"
"2023 N California Ave APT A3, Chicago, IL 60647Sold",345000,2,1,"1,200"
"2034 N Point St # 2, Chicago, IL 60647Sold",940000,4,4,"3,200"
"1722 N Sawyer Ave, Chicago, IL 60647Sold",780000,5,4,"3,150"
"2624 W Armitage Ave APT 2E, Chicago, IL 60647Sold",435000,3,2,"1,400"
"3024 W Armitage Ave # 9, Chicago, IL 60647Sold",585000,3,3,"1,730"
"1638 N Mozart St, Chicago, IL 60647Sold",815000,4,4,"3,100"
"1633 N Whipple St, Chicago, IL 60647Sold",585000,6,3,"2,500"
"2034 N Point St, Chicago, IL 60647Sold",940000,4,4,"3,200"
"2537 W Cortland St # 3, Chicago, IL 60647Sold",555000,2,2,"1,400"
"2600 W Bloomingdale Ave # 27, Chicago, IL 60647Sold",630000,4,3.5,"2,915"
"2855 W Dickens Ave, Chicago, IL 60647Sold",959000,4,4,"3,600"
"2021 N Kedzie Ave APT 4D, Chicago, IL 60647Sold",380000,2,2,"1,350"
"2544 W North Ave APT 3E, Chicago, IL 60647Sold",425000,2,2,"1,150"
"2600 W Bloomingdale Ave # 0, Chicago, IL 60647Sold",630000,4,4,"2,915"
"2735 W Armitage Ave APT 408, Chicago, IL 60647Sold",329000,2,2,"1,250"
"2735 W Armitage Ave APT 107, Chicago, IL 60647Sold",237500,1,2,740
"1923 N Richmond St, Chicago, IL 60647Sold",572500,6,4,800
"1920 N Sawyer Ave, Chicago, IL 60647Sold",330000,2,1,512
"1738 N Talman Ave, Chicago, IL 60647Sold",430000,7,4,"2,500"
"1636 N Mozart St, Chicago, IL 60647Sold",815000,4,4,"3,100"
"2800 W North Ave, Chicago, IL 60647Sold",387000,2,2,"1,450"
"2065 N Kedzie Ave APT 112, Chicago, IL 60647Sold",389000,3,3,"1,425"
"1812 N Washtenaw Ave, Chicago, IL 60647Sold",745000,3,4,"3,300"
"1729 N Maplewood Ave, Chicago, IL 60647Sold",870000,4,5,"3,800"
"3021 W Armitage Ave APT 203, Chicago, IL 60647Sold",401000,3,2,"1,432"
"2715 W Julia Ct, Chicago, IL 60647Sold",390000,4,2,"1,134"
"2518 W Cortland St, Chicago, IL 60647Sold",795000,4,4,"2,871"
"3024 W Armitage Ave # 6, Chicago, IL 60647Sold",555000,3,3,"1,730"
"1636 N Rockwell St APT 202, Chicago, IL 60647Sold",269000,2,2,"1,300"
"2800 W North Ave UNIT 404, Chicago, IL 60647Sold",387000,2,2,"1,100"
"2516 W Cortland St, Chicago, IL 60647Sold",795000,4,4,"2,871"
"1811 N Rockwell St UNIT P, Chicago, IL 60647Sold",530000,3,3,"2,200"
"2740 W Armitage Ave APT 302S, Chicago, IL 60647Sold",410000,2,2,"1,200"
"2021 N Kedzie Ave APT 3A, Chicago, IL 60647Sold",380000,2,2,"1,300"
"3069 W Armitage Ave APT 1N, Chicago, IL 60647Sold",375000,2,2,"1,263"
"2712 W Francis Pl # 2, Chicago, IL 60647Sold",320000,2,1,"1,500"
"1822 N Talman Ave, Chicago, IL 60647Sold",770500,3,3.5,"3,000"
"1629 N Talman Ave, Chicago, IL 60647Sold",737000,4,4,"2,124"
"2730 W Armitage Ave # 3W, Chicago, IL 60647Sold",550000,3,2,"1,700"
"2730 W Armitage Ave # 1W, Chicago, IL 60647Sold",699000,4,3,"3,000"
"2531 W Moffat St # 3, Chicago, IL 60647Sold",490000,2,2,"1,600"
"1944 N Albany Ave, Chicago, IL 60647Sold",585000,6,3,"3,000"
"1935 N Fairfield Ave APT 104, Chicago, IL 60647Sold",345000,2,2,"1,200"
"2720 W Cortland St APT 406, Chicago, IL 60647Sold",360000,2,2,975
"1719 N Richmond St, Chicago, IL 60647Sold",725000,4,4,"3,000"
"2042 N Point St # 3, Chicago, IL 60647Sold",530000,3,4,"2,600"
"1635 N Spaulding Ave, Chicago, IL 60647Sold",681000,9,6,"1,824"
"1834 N Rockwell St PH R, Chicago, IL 60647Sold",765000,4,3,"2,000"
"3256 W Armitage Ave UNIT 5, Chicago, IL 60647Sold",410000,3,3,"2,400"
"2537 W Cortland St # 2, Chicago, IL 60647Sold",467500,2,2,"1,400"
"2554 W Bloomingdale Ave, Chicago, IL 60647Sold",485000,3,3,"2,400"
"2025 N Whipple St APT 2N, Chicago, IL 60647Sold",340000,2,2,"1,600"
"2537 W Cortland St # 1, Chicago, IL 60647Sold",685000,4,3,"2,800"
"1712 N Albany Ave # 3, Chicago, IL 60647Sold",302000,2,2,"1,100"
"1740 N Maplewood Ave APT 316, Chicago, IL 60647Sold",289000,1,1,850
"1728 N Maplewood Ave, Chicago, IL 60647Sold",825000,4,4,"3,200"
"2056 N Sawyer Ave APT 3B, Chicago, IL 60647Sold",190000,1,1,700
"2600 W North Ave, Chicago, IL 60647Sold",377500,2,2,"1,130"
"1841 N Fairfield Ave, Chicago, IL 60647Sold",750000,4,4,"3,221"
