FO_Teams,FO_OFEI,FO_ODE,FO_OPD,FO_OAY,FO_OPP,FO_OTD,FO_OFD,FO_OBD,FO_OTO,Year
Syracuse,-.04,-.06,1.96,.431,5.51,.254,.310,.704,.141,2021
Boston College,-.04,.03,2.26,.473,5.51,.280,.400,.640,.120,2021
Miami,-.04,-.31,1.87,.437,5.54,.213,.344,.689,.115,2021
Georgia Tech,-.06,-.08,2.02,.465,6.18,.241,.362,.672,.086,2021
Utah State,-.07,.16,2.09,.519,5.63,.250,.393,.821,.054,2021
UTSA,-.07,.73,2.87,.574,6.10,.353,.456,.779,.029,2021
Northern Illinois,-.09,-.02,2.21,.462,5.30,.242,.339,.677,.129,2021
Buffalo,-.12,.08,1.98,.474,5.53,.246,.338,.692,.092,2021
Indiana,-.14,-.97,1.28,.386,4.79,.115,.279,.639,.082,2021
Maryland,-.14,-.12,2.02,.433,6.04,.236,.364,.709,.091,2021
Florida Atlantic,-.16,.11,2.10,.477,5.94,.286,.367,.673,.184,2021
California,-.18,-.31,1.64,.449,5.49,.218,.327,.673,.091,2021
Arkansas State,-.21,-.10,1.94,.414,6.02,.234,.297,.703,.094,2021
UAB,-.23,-.11,2.05,.439,5.67,.250,.339,.679,.125,2021
West Virginia,-.23,-.33,1.90,.450,5.53,.196,.333,.765,.098,2021
Fresno State,-.24,.04,2.35,.512,6.12,.284,.378,.770,.054,2021
Ohio,-.27,-.07,1.80,.476,5.93,.203,.407,.763,.051,2021
Tulsa,-.27,-.10,2.01,.452,5.85,.247,.342,.753,.096,2021
Georgia State,-.28,-.24,1.90,.408,5.22,.238,.333,.635,.159,2021
Miami (OH),-.29,-.21,1.77,.450,5.71,.210,.323,.790,.097,2021
Louisiana Tech,-.33,-.33,1.81,.442,5.95,.219,.328,.656,.172,2021
Northwestern,-.34,-.28,1.72,.442,5.41,.224,.362,.707,.103,2021
Illinois,-.39,-.50,1.53,.395,4.91,.173,.253,.720,.120,2021
UNLV,-.43,-.62,1.58,.335,4.90,.189,.283,.509,.283,2021
Colorado State,-.44,-.56,1.74,.399,4.85,.152,.258,.667,.076,2021
South Florida,-.48,-.69,1.45,.385,4.99,.157,.294,.549,.118,2021
UL Monroe,-.49,-.62,1.53,.339,4.72,.176,.235,.529,.118,2021
Arizona,-.51,-.97,1.00,.378,4.64,.093,.296,.685,.148,2021
Navy,-.51,-.73,1.51,.334,3.82,.169,.271,.508,.220,2021
Wyoming,-.52,-.13,2.11,.433,5.33,.283,.358,.717,.151,2021
South Alabama,-.52,.01,2.18,.423,5.31,.283,.350,.650,.133,2021
Vanderbilt,-.52,-.68,1.36,.341,4.68,.149,.239,.552,.104,2021
Toledo,-.53,-.49,1.72,.403,5.55,.187,.267,.680,.160,2021
Georgia Southern,-.54,-.44,1.77,.378,5.20,.214,.286,.600,.186,2021
Texas State,-.57,-.26,2.05,.402,4.97,.271,.339,.712,.169,2021
Temple,-.58,-.37,1.73,.400,5.04,.208,.271,.667,.125,2021
Hawaii,-.61,-.63,1.64,.412,5.69,.189,.284,.676,.135,2021
Kansas,-.61,-.64,1.47,.398,5.29,.191,.277,.617,.106,2021
Colorado,-.64,-1.18,.88,.275,4.35,.100,.180,.560,.140,2021
Duke,-.65,-.15,1.89,.492,5.93,.237,.382,.789,.105,2021
Central Michigan,-.68,-.33,1.78,.428,5.63,.197,.289,.697,.132,2021
Middle Tennessee,-.69,-.75,1.47,.343,4.80,.207,.224,.621,.138,2021
Florida International,-.70,-.21,1.74,.418,6.31,.230,.311,.557,.164,2021
South Carolina,-.71,-1.03,1.29,.370,4.88,.138,.262,.692,.123,2021
Rutgers,-.71,-.85,1.38,.330,4.01,.162,.235,.588,.162,2021
San Diego State,-.72,-.44,1.88,.345,5.22,.239,.254,.642,.119,2021
Troy,-.84,-.62,1.53,.371,5.06,.200,.257,.614,.200,2021
UTEP,-.87,-.35,1.89,.462,6.15,.197,.348,.712,.121,2021
San Jose State,-.92,-1.06,1.20,.319,4.55,.143,.200,.671,.100,2021
New Mexico State,-1.00,-.96,1.23,.336,4.68,.130,.260,.662,.169,2021
Rice,-1.03,-1.20,.88,.270,4.15,.120,.180,.580,.080,2021
Akron,-1.05,-.74,1.52,.340,4.33,.207,.276,.672,.190,2021
North Texas,-1.13,-1.17,1.03,.350,4.39,.129,.194,.661,.129,2021
Old Dominion,-1.16,-.90,1.42,.363,4.21,.169,.211,.690,.155,2021
New Mexico,-1.17,-1.37,.78,.269,4.16,.090,.134,.582,.224,2021
Massachusetts,-1.24,-.89,1.28,.340,4.87,.172,.241,.621,.138,2021
Connecticut,-1.30,-1.15,1.03,.328,4.47,.098,.180,.607,.213,2021
Southern Mississippi,-1.41,-1.67,.47,.236,3.49,.059,.118,.500,.338,2021
Bowling Green,-1.54,-1.10,1.39,.358,4.46,.129,.214,.671,.143,2021
