data,year,fieldlength,team,Commits,Avg,Five_Stars,Four_Stars,Three_Stars,TotalRecPoints
2019 9 10 UTSA 22 Commits 81.06 5-Star 0 4-Star 0 3-Star 16 142.31,2019,14,UTSA ,22,81.06,0,0,16,142.31
2019 10 12 UTEP 35 Commits 78.47 5-Star 0 4-Star 0 3-Star 8 132.49,2019,14,UTEP ,35,78.47,0,0,8,132.49
2019 11 9 Rice 28 Commits 79.23 5-Star 0 4-Star 0 3-Star 11 131.88,2019,14,Rice ,28,79.23,0,0,11,131.88
2019 12 11 Old Dominion 33 Commits 79.20 5-Star 0 4-Star 0 3-Star 10 128.31,2019,15,Old Dominion ,33,79.20,0,0,10,128.31
2019 13 13 Charlotte 16 Commits 79.45 5-Star 0 4-Star 0 3-Star 5 112.69,2019,14,Charlotte ,16,79.45,0,0,5,112.69
2020 1 1 Notre Dame 17 Commits 90.74 5-Star 1 4-Star 8 3-Star 8 251.28,2020,15,Notre Dame ,17,90.74,1,8,8,251.28
2020 2 2 BYU 31 Commits 82.18 5-Star 0 4-Star 0 3-Star 29 160.02,2020,14,BYU ,31,82.18,0,0,29,160.02
2020 3 3 Liberty 28 Commits 80.82 5-Star 0 4-Star 0 3-Star 18 152.26,2020,14,Liberty ,28,80.82,0,0,18,152.26
2020 4 5 Massachusetts 26 Commits 81.32 5-Star 0 4-Star 0 3-Star 21 145.02,2020,14,Massachusetts ,26,81.32,0,0,21,145.02
2020 5 4 Army 58 Commits 79.33 5-Star 0 4-Star 0 3-Star 17 140.42,2020,14,Army ,58,79.33,0,0,17,140.42
2020 6 6 Connecticut 27 Commits 80.57 5-Star 0 4-Star 0 3-Star 22 134.87,2020,14,Connecticut ,27,80.57,0,0,22,134.87
2020 7 7 New Mexico State 25 Commits 79.66 5-Star 0 4-Star 0 3-Star 10 120.47,2020,16,New Mexico State,25,79.66,0,0,10,120.47
2021 1 1 Toledo 24 Commits 82.50 5-Star 0 4-Star 0 3-Star 20 163.18,2021,14,Toledo ,24,82.50,0,0,20,163.18
2021 2 3 Central Michigan 24 Commits 81.45 5-Star 0 4-Star 0 3-Star 20 146.11,2021,15,Central Michigan ,24,81.45,0,0,20,146.11
2021 3 4 Miami (OH) 22 Commits 81.51 5-Star 0 4-Star 0 3-Star 19 146.03,2021,15,Miami (OH) ,22,81.51,0,0,19,146.03
2021 4 2 Western Michigan 21 Commits 82.06 5-Star 0 4-Star 0 3-Star 18 145.32,2021,15,Western Michigan ,21,82.06,0,0,18,145.32
2021 5 7 Northern Illinois 26 Commits 81.11 5-Star 0 4-Star 0 3-Star 22 142.58,2021,15,Northern Illinois ,26,81.11,0,0,22,142.58
2021 6 10 Ball State 23 Commits 81.00 5-Star 0 4-Star 0 3-Star 16 140.84,2021,15,Ball State ,23,81.00,0,0,16,140.84
2021 7 9 Eastern Michigan 21 Commits 81.13 5-Star 0 4-Star 0 3-Star 15 139.76,2021,15,Eastern Michigan ,21,81.13,0,0,15,139.76
2021 8 5 Buffalo 21 Commits 82.16 5-Star 0 4-Star 0 3-Star 15 137.77,2021,14,Buffalo ,21,82.16,0,0,15,137.77
2021 9 6 Ohio 19 Commits 81.68 5-Star 0 4-Star 0 3-Star 14 137.59,2021,14,Ohio ,19,81.68,0,0,14,137.59
2021 10 8 Bowling Green 22 Commits 80.89 5-Star 0 4-Star 0 3-Star 16 133.73,2021,15,Bowling Green ,22,80.89,0,0,16,133.73
2021 11 11 Kent State 16 Commits 80.79 5-Star 0 4-Star 0 3-Star 13 119.35,2021,15,Kent State ,16,80.79,0,0,13,119.35
2021 12 12 Akron 18 Commits 79.79 5-Star 0 4-Star 0 3-Star 11 113.24,2021,14,Akron ,18,79.79,0,0,11,113.24
