VariableName,Coefficient
(Intercept),-16.539688442939102
home_away1,2.4164236648980966
offense.powerSuccess,-0.11549261517374443
offense.pointsPerOpportunity,-0.017599133410017412
offense.passingDowns.explosiveness,-0.004345739742505835
defense.powerSuccess,-0.24192497044530056
defense.stuffRate,3.868001355263415
defense.fieldPosition.averagePredictedPoints,-0.46619496119298465
Pts,0.7070414310176238
pTD,0.6011935680112184
rAtt,-2.892139427375952e-4
totAvg,0.08585082585518886
fdPass,9.322265754383947e-4
penYds,-0.0016340671571719828
defPts,0.73471631749274
defpAtt,-0.029027468517849805
defrTD,0.9677885358210194
deffdPen,-0.036673043698352475
SRS,0.003933581182960805
SOS,0.5239625295562383
DefSOS,-0.5575201220254401
Off_FPI,0.07185783249526002
Def_FPI,-0.04832008731155321
FO_OFEI,0.046129100502288335
FO_OTD,-0.01387188313286659
FO_OVD,-4.598258726080815e-5
FO_OBD,-9.564662210833654e-4
FO_DTD,0.007901392259031947
FO_DTO,0.0030671015249878774
dpower,-8.880576081171993e-5
