Rk,School,G,Pts,Cmp,pAtt,Pct,pYds,pTD,rAtt,rYds,rAvg,rTD,Plays,totYds,totAvg,fdPass,fdRush,fdPen,fdTot,pen,penYds,Fum,Int,TO
63,East Carolina,6,30.8,26.2,39,67.1,309.8,2.7,32.2,165.2,5.1,1.5,71.2,475,6.7,14.3,7.8,1.8,24,4.2,31.7,0.3,0.8,1.2
64,Florida,6,30.8,14.8,26.3,56.3,222.3,1,33.7,213.2,6.3,2.7,60,435.5,7.3,9.5,8.5,1.3,19.3,5.3,34.3,0.5,1.2,1.7
65,Oklahoma,6,30.8,17.3,28.2,61.5,223.7,2,42.2,210,5,2,70.3,433.7,6.2,9.7,11.3,1.2,22.2,6.5,58.7,0.3,0.3,0.7
66,Rice,5,30.8,19.2,30.4,63.2,230.6,1.8,36.4,139.6,3.8,1.8,66.8,370.2,5.5,9.8,8.4,2.4,20.6,6.6,58.4,0.4,1.6,2
67,North Carolina State,6,30.5,21.3,35.7,59.8,230.7,2.2,35.2,141,4,1,70.8,371.7,5.2,11.3,8.5,2.3,22.2,7.7,64.5,0.7,0.7,1.3
68,Arizona,6,30.3,25.7,42.2,60.9,322.5,2.5,30.3,131.5,4.3,1.3,72.5,454,6.3,16.5,7.7,2,26.2,4.7,40.5,0.7,1.2,1.8
69,Louisiana Tech,5,30.2,20.2,35.6,56.7,276,2.6,29.2,97,3.3,0.8,64.8,373,5.8,10.2,5.6,2.8,18.6,6.4,57.2,0.8,2.2,3
70,Buffalo,6,29.8,20.5,33.7,60.9,235.7,1.3,42.3,149.5,3.5,2,76,385.2,5.1,11.3,9.7,2.2,23.2,5.7,52.2,0.7,0.5,1.2
71,Georgia State,6,29.8,13.8,24.8,55.7,202.3,2,47,234.3,5,1.7,71.8,436.7,6.1,8.3,11.8,2.2,22.3,8,70.8,0.7,0.8,1.5
72,Middle Tennessee State,6,29.8,24.7,37,66.7,259.5,1.5,34.5,112.5,3.3,1.7,71.5,372,5.2,9.8,5.8,2.8,18.5,6.3,60.3,0.3,0.7,1
73,Arkansas,6,29.5,15.7,25.7,61,228.8,1.7,49.2,233.8,4.8,2,74.8,462.7,6.2,8.7,13.8,1.2,23.7,7,64.5,0.8,0.5,1.3
74,Marshall,5,29.4,20,28.6,69.9,199.2,1.4,47.8,224.4,4.7,2,76.4,423.6,5.5,8.8,13.2,0.6,22.6,6,52.8,0.6,0.6,1.2
75,Stanford,5,29,20.6,32.6,63.2,261.6,2.4,34,138.6,4.1,1.4,66.6,400.2,6,11.8,7.6,3,22.4,4.2,41.6,1.8,1,2.8
76,San Jose State,5,28.8,19.2,32.6,58.9,265.4,1.2,31.2,115.2,3.7,2.2,63.8,380.6,6,11.2,6.4,3,20.6,6,44.8,0.4,0,0.4
77,Kansas State,6,28.7,15.2,23.8,63.6,158.8,0.7,42.7,244.5,5.7,2.5,66.5,403.3,6.1,6.5,11,1,18.5,5.2,39,0.5,0,0.5
78,Nebraska,6,28.5,20.8,32,65.1,255.3,1.5,40.7,160.2,3.9,2.3,72.7,415.5,5.7,11.8,9.7,2.3,23.8,7.3,57.5,0.7,1.2,1.8
79,Arizona State,6,27.8,18.5,28.7,64.5,217,1.2,31.7,136.3,4.3,1.8,60.3,353.3,5.9,10.7,6.7,1.7,19,7.8,75.8,0.7,0.7,1.3
80,Army,5,27.8,5.6,11.2,50,127.8,1,54.4,286.8,5.3,2.6,65.6,414.6,6.3,3.4,15.2,0.6,19.2,5.2,46.6,1.2,0.6,1.8
81,Louisville,6,27.7,18,30.2,59.7,229,0.7,41.8,207.2,5,2.7,72,436.2,6.1,10.7,9.7,2,22.3,7.7,68.5,1,0.8,1.8
82,Boise State,6,27.2,15.7,27,58,152.2,1.3,38,185.5,4.9,1.7,65,337.7,5.2,7.2,9.7,1.2,18,5,43.3,0.5,1,1.5
83,Kent State,6,27.2,16.3,27,60.5,236.5,1.5,43.8,200.7,4.6,1.7,70.8,437.2,6.2,11.2,11.3,1.2,23.7,7,55.7,0.8,0.8,1.7
84,Southern Mississippi,5,27,15,26,57.7,219,1.6,34.2,116,3.4,1,60.2,335,5.6,8.4,5.8,1.6,15.8,7.6,61.6,1,1.4,2.4
85,Washington State,6,27,24.8,37,67.1,268.7,2.5,25.7,100.3,3.9,0.8,62.7,369,5.9,11.8,5.8,1.8,19.5,5.7,49.7,0.8,1.2,2
86,Bowling Green State,6,26.7,20.8,37.2,56.1,234.7,2.7,31.8,102.3,3.2,0.5,69,337,4.9,9.8,6.3,2,18.2,7.8,66.7,0.8,0.5,1.3
87,Kentucky,6,26.3,18.7,28,66.7,263.8,2.3,34.7,92.5,2.7,0.7,62.7,356.3,5.7,11.5,6.3,1.5,19.3,4.5,27,0.8,0.8,1.7
88,Central Michigan,6,26,24.5,44.3,55.3,278.3,2,34.8,123.5,3.5,1.5,79.2,401.8,5.1,13.8,7,1.8,22.7,7,68.5,1.5,0.7,2.2
89,Illinois,6,26,21.8,31.7,68.9,211,1.5,43.8,195.7,4.5,1.3,75.5,406.7,5.4,9.7,10.2,2,21.8,7.2,67.8,1.5,0.5,2
90,Ball State,6,25.8,27.7,43.3,63.8,276.7,2,34.5,133.8,3.9,0.8,77.8,410.5,5.3,13.5,7.3,1.7,22.5,6.5,57.3,0.7,1,1.7
91,California,5,25.8,21.8,35.2,61.9,251,1.6,31.8,147.2,4.6,1.4,67,398.2,5.9,11.4,7.4,2.6,21.4,6,57.8,0,0.4,0.4
92,Charlotte,6,25.8,22.2,37.8,58.6,286.3,2.8,27.8,94.7,3.4,0.7,65.7,381,5.8,12.3,6.5,3,21.8,7.7,69.7,0.3,1,1.3
93,Michigan State,6,25.8,21.7,33.7,64.4,235,2,27.5,107.3,3.9,1.5,61.2,342.3,5.6,11.2,6.5,2.5,20.2,5.2,44.7,0.3,1.2,1.5
94,Louisiana,5,25.6,20.4,33.8,60.4,209.6,2,31.2,117.2,3.8,0.8,65,326.8,5,8.8,6.8,1.4,17,8.2,73.2,0.4,0.8,1.2
95,Notre Dame,5,25.6,18.8,28.2,66.7,219.8,1.8,40.8,174.8,4.3,1.4,69,394.6,5.7,10,9.2,2.8,22,4.6,42.6,0.4,0.8,1.2
96,Troy,6,25.5,23.5,36,65.3,315,1.7,32,83.3,2.6,1.2,68,398.3,5.9,13.8,5.7,2,21.5,6.2,52.3,0.7,1.3,2
97,Missouri,6,25.2,18.7,29.5,63.3,207.7,0.8,38.2,166.5,4.4,1.7,67.7,374.2,5.5,8.5,8.3,1.5,18.3,7.8,66.2,0.7,1.3,2
98,Indiana,6,24.3,25.8,49.2,52.5,266.2,1.5,30.5,90.8,3,1.2,79.7,357,4.5,12.8,5.7,3.3,21.8,5.5,54.2,0.7,1,1.7
