home_team,away_team,spread,spread_open,over_under,over_under_open,provider,home_points,away_points,rownumberid
Purdue,Florida Atlantic,-16.5,NA,57.5,NA,consensus,45.25,12.25,1455
Purdue,Florida Atlantic,-16,NA,57,NA,teamrankings,44.5,12.5,1456
Oklahoma,Kansas State,-14,-13.0,53,53.5,Bovada,40.5,12.5,1457
Oklahoma,Kansas State,-13.5,NA,53,NA,William Hill (New Jersey),40,13,1458
Oklahoma,Kansas State,-13.5,NA,53,NA,consensus,40,13,1459
Oklahoma,Kansas State,-13.5,NA,53,NA,teamrankings,40,13,1460
Florida State,Boston College,-18.5,-16.5,49,48.5,Bovada,43,6,1461
Florida State,Boston College,-18.5,NA,48.5,NA,William Hill (New Jersey),42.75,5.75,1462
Florida State,Boston College,-18.5,NA,48.5,NA,consensus,42.75,5.75,1463
Florida State,Boston College,-18.5,NA,48.5,NA,teamrankings,42.75,5.75,1464
Texas A&M,Arkansas,-1,-2.0,51,48.0,Bovada,26.5,24.5,1465
Texas A&M,Arkansas,-2,NA,51,NA,William Hill (New Jersey),27.5,23.5,1466
Texas A&M,Arkansas,-1.5,NA,51,NA,consensus,27,24,1467
Texas A&M,Arkansas,-1.5,NA,51,NA,teamrankings,27,24,1468
Louisiana-Monroe,Louisiana,9.5,10.5,51,54.0,Bovada,16,35,1469
Louisiana-Monroe,Louisiana,9.5,NA,51,NA,William Hill (New Jersey),16,35,1470
Louisiana-Monroe,Louisiana,9.5,NA,51,NA,consensus,16,35,1471
Louisiana-Monroe,Louisiana,9.5,NA,51,NA,teamrankings,16,35,1472
Oregon State,USC,6,7.0,70,68.0,Bovada,29,41,1473
Oregon State,USC,5.5,NA,69.5,NA,William Hill (New Jersey),29.25,40.25,1474
Oregon State,USC,5.5,NA,70.5,NA,consensus,29.75,40.75,1475
Oregon State,USC,5.5,NA,70.5,NA,teamrankings,29.75,40.75,1476
Brigham Young,Wyoming,-21,-21.0,49,51.5,Bovada,45.5,3.5,1477
Brigham Young,Wyoming,-21,NA,50,NA,William Hill (New Jersey),46,4,1478
Brigham Young,Wyoming,-21.5,NA,49.5,NA,consensus,46.25,3.25,1479
Brigham Young,Wyoming,-21.5,NA,50,NA,teamrankings,46.5,3.5,1480
Arizona State,Utah,17,16.0,53.5,52.0,Bovada,9.75,43.75,1481
Arizona State,Utah,17,NA,54,NA,William Hill (New Jersey),10,44,1482
Arizona State,Utah,16.5,NA,54,NA,consensus,10.5,43.5,1483
Arizona State,Utah,16.5,NA,54,NA,teamrankings,10.5,43.5,1484
Washington,Stanford,-14,-11.5,62,61.0,Bovada,45,17,1485
Washington,Stanford,-14,NA,62,NA,William Hill (New Jersey),45,17,1486
Washington,Stanford,-14,NA,62,NA,consensus,45,17,1487
Washington,Stanford,-14,NA,62.5,NA,teamrankings,45.25,17.25,1488
San José State,Western Michigan,-6.5,-3.5,48.5,51.5,Bovada,30.75,17.75,1489
San José State,Western Michigan,-6.5,NA,49,NA,William Hill (New Jersey),31,18,1490
San José State,Western Michigan,-6.5,NA,48.5,NA,consensus,30.75,17.75,1491
San José State,Western Michigan,-6.5,NA,49,NA,teamrankings,31,18,1492
UCF,SMU,-3,-3.5,64.5,65.0,Bovada,35.25,29.25,1493
Ohio State,Rutgers,-39,-41.0,58,60.0,Bovada,68,-10,1494
Duke,Virginia,-2,-1.5,55,56.0,Bovada,29.5,25.5,1495
Duke,Virginia,-2,NA,55,NA,William Hill (New Jersey),29.5,25.5,1496
Duke,Virginia,-2,NA,55,NA,consensus,29.5,25.5,1497
Duke,Virginia,-2,NA,55,NA,teamrankings,29.5,25.5,1498
Pittsburgh,Georgia Tech,-21.5,-20.0,47,50.5,Bovada,45,2,1499
Pittsburgh,Georgia Tech,-21.5,NA,47,NA,William Hill (New Jersey),45,2,1500
Pittsburgh,Georgia Tech,-21.5,NA,47,NA,consensus,45,2,1501
Pittsburgh,Georgia Tech,-21.5,NA,47,NA,teamrankings,45,2,1502
Appalachian State,The Citadel,-40,NA,54.5,NA,William Hill (New Jersey),67.25,-12.75,1503
Appalachian State,The Citadel,-39,NA,54.5,NA,consensus,66.25,-11.75,1504
Marshall,Gardner-Webb,-31,NA,56,NA,William Hill (New Jersey),59,-3,1505
Marshall,Gardner-Webb,-31,NA,56,NA,consensus,59,-3,1506
Wyoming,San José State,2.5,-1.0,42.5,43.5,Bovada,18.75,23.75,1507
Wyoming,San José State,2.5,NA,42.5,NA,William Hill (New Jersey),18.75,23.75,1508
Wyoming,San José State,2.5,NA,42.5,NA,consensus,18.75,23.75,1509
Wyoming,San José State,2.5,NA,42.5,NA,teamrankings,18.75,23.75,1510
Syracuse,Wagner,-54,NA,63.5,NA,William Hill (New Jersey),85.75,-22.25,1511
Syracuse,Wagner,-54,NA,62.5,NA,consensus,85.25,-22.75,1512
Buffalo,Miami (OH),-3,1.5,50.5,52.5,Bovada,28.25,22.25,1513
Buffalo,Miami (OH),-3,NA,49.5,NA,William Hill (New Jersey),27.75,21.75,1514
Buffalo,Miami (OH),-3,NA,50.5,NA,consensus,28.25,22.25,1515
Buffalo,Miami (OH),-3,NA,50,NA,teamrankings,28,22,1516
Western Michigan,New Hampshire,-15,NA,52.5,NA,William Hill (New Jersey),41.25,11.25,1517
Western Michigan,New Hampshire,-15,NA,52.5,NA,consensus,41.25,11.25,1518
Coastal Carolina,Georgia Southern,-9.5,-10.0,70,68.5,Bovada,44.5,25.5,1519
Coastal Carolina,Georgia Southern,-10,NA,70,NA,William Hill (New Jersey),45,25,1520
Coastal Carolina,Georgia Southern,-10,NA,69.5,NA,consensus,44.75,24.75,1521
Coastal Carolina,Georgia Southern,-10,NA,69.5,NA,teamrankings,44.75,24.75,1522
Florida,Eastern Washington,-32,-32.0,69,71.5,Bovada,66.5,2.5,1523
Florida,Eastern Washington,-32,NA,69.5,NA,William Hill (New Jersey),66.75,2.75,1524
Florida,Eastern Washington,-32,NA,71.5,NA,consensus,67.75,3.75,1525
Mississippi State,Texas A&M,-4,-2.5,45,46.0,Bovada,26.5,18.5,1526
Mississippi State,Texas A&M,-4,NA,45,NA,William Hill (New Jersey),26.5,18.5,1527
Mississippi State,Texas A&M,-4,NA,45,NA,consensus,26.5,18.5,1528
Mississippi State,Texas A&M,-4,NA,45,NA,teamrankings,26.5,18.5,1529
St Francis (PA),Central Connecticut,-19.5,NA,47.5,NA,William Hill (New Jersey),43.25,4.25,1530
St Francis (PA),Central Connecticut,-18.5,NA,47.5,NA,consensus,42.25,5.25,1531
South Dakota State,Western Illinois,-34.5,NA,56.5,NA,William Hill (New Jersey),62.75,-6.25,1532
South Dakota State,Western Illinois,-34.5,NA,56.5,NA,consensus,62.75,-6.25,1533
Fordham,Georgetown,-24,NA,66.5,NA,William Hill (New Jersey),57.25,9.25,1534
Fordham,Georgetown,-24,NA,66.5,NA,consensus,57.25,9.25,1535
North Dakota State,Youngstown State,-23,NA,53,NA,William Hill (New Jersey),49.5,3.5,1536
Western Michigan,Pittsburgh,10.5,10.0,46,54.5,Bovada,12.5,33.5,1537
Western Michigan,Pittsburgh,10,NA,46,NA,William Hill (New Jersey),13,33,1538
Western Michigan,Pittsburgh,10,NA,46,NA,consensus,13,33,1539
Western Michigan,Pittsburgh,10,NA,46,NA,teamrankings,13,33,1540
Minnesota,Purdue,-9,NA,53,NA,William Hill (New Jersey),35.5,17.5,1541
Minnesota,Purdue,-9.5,NA,53,NA,consensus,36,17,1542
Minnesota,Purdue,-9,NA,53,NA,teamrankings,35.5,17.5,1543
Minnesota,Purdue,-9,-10.0,53,53.5,Bovada,35.5,17.5,1544
Davidson,Butler,-21.5,NA,62.5,NA,William Hill (New Jersey),52.75,9.75,1545
Davidson,Butler,-21.5,NA,62.5,NA,consensus,52.75,9.75,1546
Georgia State,Charlotte,-19.5,-19.5,64,60.5,Bovada,51.5,12.5,1547
Georgia State,Charlotte,-19.5,NA,63.5,NA,William Hill (New Jersey),51.25,12.25,1548
Georgia State,Charlotte,-19.5,NA,63.5,NA,consensus,51.25,12.25,1549
Georgia State,Charlotte,-19.5,NA,64,NA,teamrankings,51.5,12.5,1550
Kansas,Iowa State,4,3.0,59,58.0,Bovada,25.5,33.5,1551
Kansas,Iowa State,3.5,NA,59,NA,William Hill (New Jersey),26,33,1552
Kansas,Iowa State,3.5,NA,59,NA,consensus,26,33,1553
Kansas,Iowa State,3.5,NA,59,NA,teamrankings,26,33,1554
Alabama A&M,Bethune-Cookman,-6.5,NA,58.5,NA,William Hill (New Jersey),35.75,22.75,1555
Alabama A&M,Bethune-Cookman,-6.5,NA,58.5,NA,consensus,35.75,22.75,1556
Toledo,Central Michigan,-6.5,-6.5,55.5,58.5,Bovada,34.25,21.25,1557
Toledo,Central Michigan,-6.5,NA,56,NA,William Hill (New Jersey),34.5,21.5,1558
Toledo,Central Michigan,-6.5,NA,56,NA,consensus,34.5,21.5,1559
Toledo,Central Michigan,-6.5,NA,56,NA,teamrankings,34.5,21.5,1560
Florida A&M,Mississippi Valley State,-24.5,NA,48.5,NA,William Hill (New Jersey),48.75,-0.25,1561
Florida A&M,Mississippi Valley State,-24.5,NA,48.5,NA,consensus,48.75,-0.25,1562
Arkansas,Alabama,17,16.0,61,61.5,Bovada,13.5,47.5,1563
Arkansas,Alabama,17,NA,61,NA,William Hill (New Jersey),13.5,47.5,1564
Arkansas,Alabama,17,NA,61,NA,consensus,13.5,47.5,1565
Arkansas,Alabama,17,NA,61,NA,teamrankings,13.5,47.5,1566
Maryland,Michigan State,-7.5,-7.5,58,59.5,Bovada,36.5,21.5,1567
Maryland,Michigan State,-7.5,NA,58.5,NA,William Hill (New Jersey),36.75,21.75,1568
Maryland,Michigan State,-7.5,NA,58.5,NA,consensus,36.75,21.75,1569
Maryland,Michigan State,-7.5,NA,58.5,NA,teamrankings,36.75,21.75,1570
Florida State,Wake Forest,-6,-6.0,67.5,66.0,Bovada,39.75,27.75,1571
Florida State,Wake Forest,-5.5,NA,68,NA,William Hill (New Jersey),39.5,28.5,1572
Florida State,Wake Forest,-6,NA,67.5,NA,consensus,39.75,27.75,1573
Florida State,Wake Forest,-6,NA,67,NA,teamrankings,39.5,27.5,1574
Kent State,Ohio,-13,-7.0,65.5,69.0,Bovada,45.75,19.75,1575
Kent State,Ohio,-13,NA,65.5,NA,William Hill (New Jersey),45.75,19.75,1576
Kent State,Ohio,-12.5,NA,65.5,NA,consensus,45.25,20.25,1577
Kent State,Ohio,-13,NA,65.5,NA,teamrankings,45.75,19.75,1578
Cal Poly,Sacramento State,25,NA,62,NA,William Hill (New Jersey),6,56,1579
Cal Poly,Sacramento State,25,NA,62,NA,consensus,6,56,1580
Clemson,NC State,-6.5,-7.0,46,46.0,Bovada,29.5,16.5,1581
Clemson,NC State,-6.5,NA,45.5,NA,William Hill (New Jersey),29.25,16.25,1582
Clemson,NC State,-6.5,NA,45.5,NA,consensus,29.25,16.25,1583
Clemson,NC State,-6.5,NA,46,NA,teamrankings,29.5,16.5,1584
Auburn,LSU,8,7.5,44.5,45.5,Bovada,14.25,30.25,1585
Auburn,LSU,8,NA,44.5,NA,William Hill (New Jersey),14.25,30.25,1586
Auburn,LSU,8,NA,44.5,NA,consensus,14.25,30.25,1587
Auburn,LSU,8,NA,44.5,NA,teamrankings,14.25,30.25,1588
Tulsa,Cincinnati,10,12.0,59,60.5,Bovada,19.5,39.5,1589
Tulsa,Cincinnati,10,NA,59.5,NA,William Hill (New Jersey),19.75,39.75,1590
Tulsa,Cincinnati,10,NA,59,NA,consensus,19.5,39.5,1591
Tulsa,Cincinnati,10,NA,59,NA,teamrankings,19.5,39.5,1592
Rice,UAB,10.5,9.5,51,52.0,Bovada,15,36,1593
Rice,UAB,10.5,NA,51,NA,William Hill (New Jersey),15,36,1594
Rice,UAB,10.5,NA,51,NA,consensus,15,36,1595
Rice,UAB,10.5,NA,51,NA,teamrankings,15,36,1596
Texas Southern,Alabama State,-5.5,NA,55.5,NA,William Hill (New Jersey),33.25,22.25,1597
Texas Southern,Alabama State,-5.5,NA,55.5,NA,consensus,33.25,22.25,1598
Alabama,Vanderbilt,-40.5,-40.0,61,59.0,Bovada,71,-10,1599
Alabama,Vanderbilt,-40.5,NA,60.5,NA,William Hill (New Jersey),70.75,-10.25,1600
Alabama,Vanderbilt,-40.5,NA,60.5,NA,consensus,70.75,-10.25,1601
Alabama,Vanderbilt,-40.5,NA,61,NA,teamrankings,71,-10,1602
North Carolina A&T,Bryant,-5.5,NA,53.5,NA,William Hill (New Jersey),32.25,21.25,1603
North Carolina A&T,Bryant,-5.5,NA,54.5,NA,consensus,32.75,21.75,1604
Auburn,Missouri,-7.5,-6.5,51,51.5,Bovada,33,18,1605
Auburn,Missouri,-7.5,NA,51,NA,William Hill (New Jersey),33,18,1606
Auburn,Missouri,-7.5,NA,51,NA,consensus,33,18,1607
Auburn,Missouri,-7.5,NA,51,NA,teamrankings,33,18,1608
Ole Miss,Kentucky,-6,-6.0,55,55.5,Bovada,33.5,21.5,1609
Ole Miss,Kentucky,-6.5,NA,54,NA,William Hill (New Jersey),33.5,20.5,1610
Ole Miss,Kentucky,-6.5,NA,55,NA,consensus,34,21,1611
Ole Miss,Kentucky,-6.5,NA,55,NA,teamrankings,34,21,1612
South Carolina,South Carolina State,-40.5,NA,56,NA,William Hill (New Jersey),68.5,-12.5,1613
South Carolina,South Carolina State,-40.5,NA,57,NA,consensus,69,-12,1614
Missouri,Georgia,31.5,27.5,54.5,55.5,Bovada,-4.25,58.75,1615
Missouri,Georgia,31,NA,54,NA,William Hill (New Jersey),-4,58,1616
Missouri,Georgia,30.5,NA,54.5,NA,consensus,-3.25,57.75,1617
Missouri,Georgia,30.5,NA,54,NA,teamrankings,-3.5,57.5,1618
Arizona,Colorado,-17.5,-18.0,58,55.5,Bovada,46.5,11.5,1619
Arizona,Colorado,-18,NA,58.5,NA,William Hill (New Jersey),47.25,11.25,1620
Arizona,Colorado,-18,NA,58,NA,consensus,47,11,1621
Arizona,Colorado,-17.5,NA,57.5,NA,teamrankings,46.25,11.25,1622
UCLA,Washington,2.5,3.0,65,65.0,Bovada,30,35,1623
UCLA,Washington,2.5,NA,65.5,NA,William Hill (New Jersey),30.25,35.25,1624
UCLA,Washington,2.5,NA,64.5,NA,consensus,29.75,34.75,1625
UCLA,Washington,2.5,NA,65,NA,teamrankings,30,35,1626
Arizona State,Washington,13.5,13.0,56,55.5,Bovada,14.5,41.5,1627
Texas,West Virginia,-7.5,-10.0,61,62.0,Bovada,38,23,1628
Texas,West Virginia,-7.5,NA,61,NA,William Hill (New Jersey),38,23,1629
Texas,West Virginia,-7.5,NA,61,NA,consensus,38,23,1630
Texas,West Virginia,-7.5,NA,61,NA,teamrankings,38,23,1631
USC,Arizona State,-24.5,-24.0,61,61.5,Bovada,55,6,1632
USC,Arizona State,-24.5,NA,61,NA,William Hill (New Jersey),55,6,1633
USC,Arizona State,-24.5,NA,61,NA,consensus,55,6,1634
USC,Arizona State,-24.5,NA,61,NA,teamrankings,55,6,1635
Iowa,Michigan,11,10.0,42,43.0,Bovada,10,32,1636
Iowa,Michigan,10.5,NA,42,NA,William Hill (New Jersey),10.5,31.5,1637
Iowa,Michigan,10.5,NA,42,NA,consensus,10.5,31.5,1638
Iowa,Michigan,10.5,NA,42,NA,teamrankings,10.5,31.5,1639
Stanford,Oregon State,7,7.0,58,58.5,Bovada,22,36,1640
Washington State,California,-4,-4.5,52.5,53.0,Bovada,30.25,22.25,1641
Washington State,California,-4,NA,52.5,NA,William Hill (New Jersey),30.25,22.25,1642
Washington State,California,-4,NA,52.5,NA,consensus,30.25,22.25,1643
Washington State,California,-4,NA,52.5,NA,teamrankings,30.25,22.25,1644
UCLA,Utah,4.5,3.5,64,64.0,Bovada,27.5,36.5,1645
Oklahoma State,Texas Tech,-10.5,-10.0,64,64.0,Bovada,42.5,21.5,1646
Kansas,TCU,6.5,5.5,67.5,67.5,Bovada,27.25,40.25,1647
Baylor,Oklahoma State,-2,-2.5,56,54.5,Bovada,30,26,1648
Baylor,Oklahoma State,-2.5,NA,56,NA,William Hill (New Jersey),30.5,25.5,1649
Baylor,Oklahoma State,-2.5,NA,56,NA,consensus,30.5,25.5,1650
Baylor,Oklahoma State,-2.5,NA,56,NA,teamrankings,30.5,25.5,1651
Iowa State,Kansas State,2,2.0,45.5,46.0,Bovada,20.75,24.75,1652
Kansas State,Texas Tech,-7.5,-7.5,56.5,57.5,Bovada,35.75,20.75,1653
Kansas State,Texas Tech,-7.5,NA,56,NA,William Hill (New Jersey),35.5,20.5,1654
Kansas State,Texas Tech,-7.5,NA,56,NA,consensus,35.5,20.5,1655
Kansas State,Texas Tech,-7.5,NA,56,NA,teamrankings,35.5,20.5,1656
Oklahoma,Texas,7,6.0,65,65.0,Bovada,25.5,39.5,1657
TCU,Oklahoma,5,5.0,70,67.5,Bovada,30,40,1658
TCU,Oklahoma,5,NA,69.5,NA,William Hill (New Jersey),29.75,39.75,1659
TCU,Oklahoma,5,NA,69.5,NA,consensus,29.75,39.75,1660
TCU,Oklahoma,5,NA,69.5,NA,teamrankings,29.75,39.75,1661
Georgia State,Georgia Southern,-2.5,-2.5,65.5,65.5,Bovada,35.25,30.25,1662
Army,Georgia State,-9,-9.5,54,58.0,Bovada,36,18,1663
Army,Georgia State,-8.5,NA,54,NA,William Hill (New Jersey),35.5,18.5,1664
Army,Georgia State,-8.5,NA,54,NA,consensus,35.5,18.5,1665
Army,Georgia State,-8.5,NA,54,NA,teamrankings,35.5,18.5,1666
Connecticut,Fresno State,23,24.0,51,56.0,Bovada,2.5,48.5,1667
Connecticut,Fresno State,23,NA,51,NA,William Hill (New Jersey),2.5,48.5,1668
Connecticut,Fresno State,23.5,NA,51,NA,consensus,2,49,1669
Connecticut,Fresno State,23.5,NA,51,NA,teamrankings,2,49,1670
Old Dominion,Liberty,3.5,2.0,47.5,48.0,Bovada,20.25,27.25,1671
Old Dominion,Liberty,3.5,NA,47.5,NA,William Hill (New Jersey),20.25,27.25,1672
Old Dominion,Liberty,3.5,NA,47.5,NA,consensus,20.25,27.25,1673
Old Dominion,Liberty,3.5,NA,48,NA,teamrankings,20.5,27.5,1674
Wisconsin,Illinois,-6.5,-8.5,43.5,44.0,Bovada,28.25,15.25,1675
Wisconsin,Illinois,-6.5,NA,43.5,NA,William Hill (New Jersey),28.25,15.25,1676
Wisconsin,Illinois,-6.5,NA,43.5,NA,consensus,28.25,15.25,1677
Wisconsin,Illinois,-6.5,NA,43,NA,teamrankings,28,15,1678
Nebraska,Indiana,-7,-3.5,62,61.5,Bovada,38,24,1679
Nebraska,Indiana,-6.5,NA,61.5,NA,William Hill (New Jersey),37.25,24.25,1680
Nebraska,Indiana,-6.5,NA,61.5,NA,consensus,37.25,24.25,1681
Nebraska,Indiana,-6.5,NA,62,NA,teamrankings,37.5,24.5,1682
Akron,Bowling Green State,8.5,6.5,49.5,52.0,Bovada,16.25,33.25,1683
Akron,Bowling Green State,9,NA,49.5,NA,William Hill (New Jersey),15.75,33.75,1684
Akron,Bowling Green State,9.5,NA,49.5,NA,consensus,15.25,34.25,1685
Akron,Bowling Green State,9,NA,49.5,NA,teamrankings,15.75,33.75,1686
Northern Iowa,Indiana State,-23.5,NA,49,NA,William Hill (New Jersey),48,1,1687
Northern Iowa,Indiana State,-23.5,NA,49,NA,consensus,48,1,1688
Abilene Christian,Lamar,-16,-16.5,50.5,50.5,Bovada,41.25,9.25,1689
Abilene Christian,Lamar,-17,NA,50.5,NA,William Hill (New Jersey),42.25,8.25,1690
Abilene Christian,Lamar,-16.5,NA,50.5,NA,consensus,41.75,8.75,1691
Oregon,Stanford,-17.5,-16.0,63,62.5,Bovada,49,14,1692
Oregon,Stanford,-18,NA,63,NA,William Hill (New Jersey),49.5,13.5,1693
Oregon,Stanford,-17.5,NA,63,NA,consensus,49,14,1694
Oregon,Stanford,-17,NA,63,NA,teamrankings,48.5,14.5,1695
Utah,Oregon State,-10.5,-11.0,54,56.0,Bovada,37.5,16.5,1696
Utah,Oregon State,-10.5,NA,54,NA,William Hill (New Jersey),37.5,16.5,1697
Utah,Oregon State,-10.5,NA,54.5,NA,consensus,37.75,16.75,1698
Utah,Oregon State,-10.5,NA,54,NA,teamrankings,37.5,16.5,1699
Sam Houston State,Stephen F. Austin,-6,NA,54,NA,William Hill (New Jersey),33,21,1700
Sam Houston State,Stephen F. Austin,-6.5,NA,54,NA,consensus,33.5,20.5,1701
Northwestern State,Nicholls,8,NA,63.5,NA,William Hill (New Jersey),23.75,39.75,1702
Northwestern State,Nicholls,8,NA,63.5,NA,consensus,23.75,39.75,1703
Northwestern State,Lamar,2,NA,52.5,NA,William Hill (New Jersey),24.25,28.25,1704
Lamar,Houston Christian,-1.5,NA,54.5,NA,William Hill (New Jersey),28.75,25.75,1705
Lamar,Houston Christian,-1.5,NA,54.5,NA,consensus,28.75,25.75,1706
Incarnate Word,McNeese,-24.5,NA,70.5,NA,William Hill (New Jersey),59.75,10.75,1707
Incarnate Word,McNeese,-24.5,NA,70.5,NA,consensus,59.75,10.75,1708
