season,team,conference,off_plays,off_drives,off_ppa,off_total_ppa,off_success_rate,off_explosiveness,off_power_success,off_stuff_rate,off_line_yds,off_line_yds_total,off_second_lvl_yds,off_second_lvl_yds_total,off_open_field_yds,off_open_field_yds_total,off_total_opportunities,off_pts_per_opp,off_field_pos_avg_start,off_field_pos_avg_predicted_points,off_havoc_total,off_havoc_front_seven,off_havoc_db,off_standard_downs_rate,off_standard_downs_ppa,off_standard_downs_success_rate,off_standard_downs_explosiveness,off_passing_downs_rate,off_passing_downs_ppa,off_passing_downs_success_rate,off_passing_downs_explosiveness,off_rushing_plays_rate,off_rushing_plays_ppa,off_rushing_plays_total_ppa,off_rushing_plays_success_rate,off_rushing_plays_explosiveness,off_passing_plays_rate,off_passing_plays_ppa,off_passing_plays_total_ppa,off_passing_plays_success_rate,off_passing_plays_explosiveness,def_plays,def_drives,def_ppa,def_total_ppa,def_success_rate,def_explosiveness,def_power_success,def_stuff_rate,def_line_yds,def_line_yds_total,def_second_lvl_yds,def_second_lvl_yds_total,def_open_field_yds,def_open_field_yds_total,def_total_opportunities,def_pts_per_opp,def_field_pos_avg_start,def_field_pos_avg_predicted_points,def_havoc_total,def_havoc_front_seven,def_havoc_db,def_standard_downs_rate,def_standard_downs_ppa,def_standard_downs_success_rate,def_standard_downs_explosiveness,def_passing_downs_rate,def_passing_downs_ppa,def_passing_downs_total_ppa,def_passing_downs_success_rate,def_passing_downs_explosiveness,def_rushing_plays_rate,def_rushing_plays_ppa,def_rushing_plays_total_ppa,def_rushing_plays_success_rate,def_rushing_plays_explosiveness,def_passing_plays_rate,def_passing_plays_ppa,def_passing_plays_success_rate,def_passing_plays_explosiveness
2022,Air Force,Mountain West,253,39,0.443889605225829,112.30407012213473,0.5335968379446641,1.2334819532509853,0.8148148148148148,0.0958904109589041,3.771232876712329,826,1.3105022831050228,287,2.0684931506849313,453,18,4.111111111111111,74.9,1.067,0.12648221343873517,0.11067193675889328,0.015810276679841896,0.7312252964426877,0.3475806200277786,0.5675675675675675,0.9848597665442665,0.26877470355731226,0.70590669730876,0.4411764705882353,2.1036596067245013,0.8656126482213439,0.38266296906213654,83.8031902246079,0.5525114155251142,1.0126798483291835,0.13438735177865613,0.8382611734566714,28.50087989752683,0.4117647058823529,3.1418430029322737,213,39,0.17758681403891924,37.82599139028979,0.4413145539906103,1.1975318514009945,0.38461538461538464,0.14912280701754385,3.1894736842105265,364,1.219298245614035,139,0.868421052631579,99,15,4.333333333333333,72.7,-1.189,0.20187793427230047,0.11267605633802817,0.0892018779342723,0.6807511737089202,0.10839380809230524,0.503448275862069,1.0260212552811103,0.3192488262910798,0.3251307237780226,39.01455143641445,0.3088235294117647,1.7937353521986865,0.5352112676056338,0.09801493901437858,11.173703047639158,0.42105263157894735,1.008337325969192,0.4460093896713615,0.41067948880436267,0.4842105263157895,1.3949522257646143
2022,Akron,Mid-American,311,62,0.035019836220009606,10.891169064422987,0.3665594855305466,1.1891857331857716,0.9166666666666666,0.16822429906542055,3.0373831775700935,325,0.9158878504672897,98,0.4766355140186916,51,23,2.6521739130434785,72.2,1.255,0.2540192926045016,0.1832797427652733,0.0707395498392283,0.639871382636656,-0.005733350133037378,0.4371859296482412,0.9273840671444178,0.36012861736334406,0.10742951554372701,0.24107142857142858,2.0327688793190224,0.3440514469453376,-0.006837471039374632,-0.7316094012130857,0.40186915887850466,0.7815659066840099,0.6527331189710611,0.0779703929892854,15.827989776824936,0.3497536945812808,1.436054078813599,319,60,0.3337169255364121,106.45569924611544,0.49216300940438873,1.3115936499761667,0.6976744186046512,0.1564245810055866,3.206145251396648,574,1.2067039106145252,216,1.0614525139664803,190,37,4.5675675675675675,67.9,-1.575,0.12225705329153605,0.07210031347962383,0.050156739811912224,0.7398119122257053,0.3159997001694459,0.5466101694915254,1.1923880638973585,0.2601880877742947,0.3840936145316412,71.49477579911395,0.3373493975903614,1.860790814410676,0.5611285266457681,0.24048478226591305,43.04677602559843,0.5027932960893855,1.0049946250196036,0.42946708463949845,0.5218596773657953,0.48905109489051096,1.7234430864849828
2022,Alabama,SEC,337,63,0.35284669448895833,118.90933604277896,0.49851632047477745,1.4502147705326194,0.6363636363636364,0.20481927710843373,2.940963855421687,488,1.5602409638554218,259,3.463855421686747,575,38,5,68.3,1.593,0.11869436201780416,0.0830860534124629,0.03560830860534125,0.7329376854599406,0.2341173095439693,0.5182186234817814,1.1864920150314862,0.26706231454005935,0.6786928953935393,0.4444444444444444,2.294127588136246,0.49258160237388726,0.28747140292398315,47.7202528853812,0.4939759036144578,1.2625531515225532,0.5074183976261127,0.4163104278210395,71.18908315739775,0.5029239766081871,1.6291479421468686,325,68,-0.0998524668253395,-32.45205171823534,0.3323076923076923,1.066784299843466,0.5652173913043478,0.27647058823529413,2.3011764705882354,391,0.788235294117647,134,0.37058823529411766,63,16,3.5,74.5,-1.069,0.19384615384615383,0.13538461538461538,0.05846153846153846,0.6553846153846153,-0.09132134152538997,0.40375586854460094,0.8762921950322106,0.3446153846153846,-0.11607683904756497,-6.113632021036883,0.19642857142857142,1.8114352550147375,0.5230769230769231,-0.07455445618942357,-12.674257552202006,0.3411764705882353,0.839221439759064,0.4707692307692308,-0.03995837922246329,0.32679738562091504,1.3307572175413722
2022,Appalachian State,Sun Belt,375,58,0.32031876832778017,120.11953812291758,0.4613333333333333,1.3514291959367153,0.7586206896551724,0.12690355329949238,3.1944162436548225,629,1.1065989847715736,218,1.4568527918781726,287,30,4.866666666666667,68.5,1.458,0.08,0.048,0.032,0.6826666666666666,0.28209048554002086,0.52734375,1.102062255111178,0.31733333333333336,0.4025577632325398,0.31932773109243695,2.237338064659018,0.5253333333333333,0.24090908972116554,47.45909067506961,0.47715736040609136,0.9784195034314835,0.4666666666666667,0.41119816981711155,71.95967971799452,0.44571428571428573,1.7850092734673,335,52,0.2439719475314965,81.73060242305134,0.41492537313432837,1.3659789827778497,0.76,0.12429378531073447,3.1898305084745764,565,1,177,1.112994350282486,197,26,4.115384615384615,69.4,-1.396,0.16119402985074627,0.13432835820895522,0.026865671641791045,0.6895522388059702,0.1603858801955366,0.46320346320346323,1.1132860472746111,0.31044776119402984,0.42962946247963824,56.09314436724855,0.3076923076923077,2.2109209858668035,0.5283582089552239,0.172958286733843,30.61361675189021,0.384180790960452,1.1417244042524066,0.46567164179104475,0.35957143825159327,0.4551282051282051,1.580758015731795
2022,Arizona,Pac-12,350,59,0.2584073360785523,90.44256762749332,0.47714285714285715,1.3166177833366601,0.7083333333333334,0.1917808219178082,2.9767123287671233,435,1.2671232876712328,185,0.9041095890410958,132,39,4.076923076923077,72.2,1.242,0.1457142857142857,0.06857142857142857,0.07714285714285714,0.7057142857142857,0.14078179825134302,0.5101214574898786,1.0419158458533975,0.29428571428571426,0.5404802277612776,0.39805825242718446,2.1608237375535158,0.41714285714285715,0.09739496693030485,14.219665171824508,0.4863013698630137,0.8399230027591554,0.5657142857142857,0.44594582927734383,88.29727419691407,0.48484848484848486,1.669173298138773,295,56,0.2986918332513497,88.11409080914815,0.5016949152542373,1.1608715926866857,0.68,0.13924050632911392,3.669620253164557,580,1.481012658227848,234,1.860759493670886,294,29,4.758620689655173,70,-1.343,0.14576271186440679,0.08813559322033898,0.0576271186440678,0.735593220338983,0.2616167378794722,0.576036866359447,0.9622909396550259,0.26440677966101694,0.4018366498628549,46.70630373179112,0.2948717948717949,2.2401142722065766,0.535593220338983,0.2842443703238887,44.91061051117442,0.5316455696202531,1.010943959520331,0.4576271186440678,0.34597262023548975,0.4740740740740741,1.3576516112175265
2022,Arizona State,Pac-12,175,36,0.0830182072087301,14.528186261527768,0.38857142857142857,1.2889979327687913,0.5,0.25,2.6375,190,0.9583333333333334,69,1.1805555555555556,85,14,3.642857142857143,73.6,1.138,0.30857142857142855,0.2,0.10857142857142857,0.6457142857142857,-0.0015360571747911798,0.4336283185840708,1.0240602027501444,0.35428571428571426,0.23712517293998664,0.3064516129032258,1.9722583943958276,0.4114285714285714,5.933212222982384e-4,0.04271912800547316,0.3611111111111111,1.0308024294034694,0.5885714285714285,0.14063560323808053,14.485467133522295,0.4077669902912621,1.4488332443758953,225,35,0.26446149500669114,59.503836376505504,0.4888888888888889,1.1464820068743775,0.8666666666666667,0.10743801652892562,3.4231404958677687,414,1.0413223140495869,126,0.4214876033057851,51,22,5,68.9,-1.56,0.2088888888888889,0.10666666666666667,0.10222222222222223,0.7688888888888888,0.20214690641340075,0.5144508670520231,0.9954028805893794,0.2311111111111111,0.4717773378266764,42.01721669338307,0.40384615384615385,1.786769732558417,0.5377777777777778,0.14451751804233418,17.486619683122434,0.4628099173553719,0.7500668902651708,0.4622222222222222,0.4040116989748372,0.5192307692307693,1.5575791648394808
2022,Arkansas,SEC,375,62,0.2067425151498492,77.52844318119345,0.472,1.1767108305587872,0.8333333333333334,0.16877637130801687,3.2033755274261604,759,1.1814345991561181,280,1.3291139240506329,315,32,4.09375,72.9,1.206,0.144,0.10666666666666667,0.037333333333333336,0.728,0.1690042999546044,0.5384615384615384,0.9888094366756204,0.272,0.3077477381724162,0.29411764705882354,2.0974276605863054,0.632,0.09440305765604329,22.37352466448226,0.5021097046413502,0.8681165311705895,0.36533333333333334,0.4132875906030706,56.62039991262066,0.4233576642335766,1.809861203441469,340,66,0.24036282599218736,81.7233608373437,0.40588235294117647,1.5838347461187492,0.6842105263157895,0.17647058823529413,2.8366013071895426,434,1.0522875816993464,161,2.0915032679738563,320,32,3.3125,72,-1.236,0.18823529411764706,0.13529411764705881,0.052941176470588235,0.6323529411764706,0.08452640698283807,0.44651162790697674,1.1913875247238357,0.36764705882352944,0.5084014666882681,47.85001370640845,0.336,2.4808569664499798,0.45,0.2796925475193626,42.79295977046248,0.45751633986928103,1.1993984485609066,0.5441176470588235,0.25864872273734296,0.3675675675675676,1.9795779936047635
2022,Arkansas State,Sun Belt,379,64,0.19767980050578715,74.92064439169333,0.42744063324538256,1.2810113921154715,0.7857142857142857,0.2864321608040201,2.4979899497487437,497,1.085427135678392,216,1.100502512562814,219,33,4.03030303030303,69.2,1.506,0.17941952506596306,0.15303430079155672,0.026385224274406333,0.6437994722955145,0.09186218246265233,0.4713114754098361,0.9925804107011831,0.3562005277044855,0.38893534719115674,0.34814814814814815,1.9867467721717094,0.525065963060686,0.023403278146314387,4.657252351116563,0.4120603015075377,1.0020353254916936,0.47493403693931396,0.39035217800320426,70.26339204057676,0.4444444444444444,1.566961860404844,290,58,0.24419334062407913,70.81606878098295,0.40344827586206894,1.4783342300436422,0.6111111111111112,0.28104575163398693,2.511764705882353,384,1.1830065359477124,181,1.3137254901960784,201,24,4.458333333333333,75.5,-1.025,0.24482758620689654,0.17586206896551723,0.06896551724137931,0.6827586206896552,0.1780288928553108,0.48484848484848486,1.2094674555174398,0.31724137931034485,0.38659073908295016,56.83593363146736,0.22826086956521738,2.707439485020567,0.5275862068965518,0.10215204678162551,15.629263157588703,0.43137254901960786,0.951184991603706,0.46551724137931033,0.42100691578864713,0.37777777777777777,2.1605273621423833
2022,Army,FBS Independents,256,38,0.34550634527940915,88.44962439152874,0.44140625,1.3579410906756981,0.7272727272727273,0.1111111111111111,3.200462962962963,691,0.9861111111111112,213,1.6898148148148149,365,18,4.277777777777778,72.8,1.157,0.10546875,0.08203125,0.0234375,0.74609375,0.31629468021199614,0.5130890052356021,1.1770699979648713,0.25390625,0.43134369955442275,0.23076923076923078,2.5396322297197678,0.84375,0.2638329386251735,56.98791474303748,0.46296296296296297,1.1619393476608173,0.1484375,0.8563422604525955,32.54100589719863,0.34210526315789475,2.8656468061747824,273,43,0.24376601072010448,66.54812092658852,0.5054945054945055,1.1445386308619434,0.8421052631578947,0.08536585365853659,3.7182926829268292,610,1.329268292682927,218,1.1585365853658538,190,27,3.962962962962963,68.7,-1.495,0.09523809523809523,0.05860805860805861,0.03663003663003663,0.7216117216117216,0.20610568393447903,0.5583756345177665,0.9073256224795322,0.2783882783882784,0.3413855419933705,42.890947461639136,0.3684210526315789,2.0764468780785585,0.6007326007326007,0.2751242132256774,45.1203709690111,0.524390243902439,0.8652124838107772,0.38095238095238093,0.4124129563619148,0.5,1.6065011048311797
2022,Auburn,SEC,327,61,0.16602676744403816,54.29075295420048,0.41284403669724773,1.4064508521335493,0.7727272727272727,0.25280898876404495,2.6275280898876403,468,1.1629213483146068,207,1.3707865168539326,244,31,3.3225806451612905,72,1.284,0.20489296636085627,0.14678899082568808,0.0581039755351682,0.6574923547400612,0.16926977930095893,0.4790697674418605,1.1826494425672245,0.3425076452599388,0.1598013428972706,0.2857142857142857,2.1268116391751577,0.5443425076452599,0.1081168078598247,19.244791799048798,0.4157303370786517,1.1950999487112741,0.4434250764525994,0.27160073790284134,39.382106995912,0.4206896551724138,1.662843751367129,334,59,0.10861312990955281,36.27678538979064,0.38323353293413176,1.1855009762154078,0.6363636363636364,0.22285714285714286,2.607428571428571,456,0.8857142857142857,155,0.8742857142857143,153,22,4.318181818181818,70.7,-1.388,0.1497005988023952,0.09880239520958084,0.05089820359281437,0.6287425149700598,-0.03691557431828918,0.4142857142857143,0.8653284228221253,0.3712574850299401,0.35507303223089814,23.317609534000905,0.33064516129032256,1.8648915163426167,0.5239520958083832,0.07405243346165565,12.959175855789738,0.38857142857142857,0.9186314323251323,0.47604790419161674,0.14665163228931385,0.37735849056603776,1.48795312595772
