home_team,home_model_points,away_team,away_model_points,vegas_spread,vegas_over_under,model_over_under,model_spread,spread_difference,abs_difference,OU_Prediction,Model_Pick,Model_SU_Pick,actual_home,actual_away,actual_winner,spread_winner,OU_winner,home_residual,away_residual,abs_home_residual,abs_away_residual,spread_result,OU_result,SU_result,Week
USC,29.81375911,Utah,24.51846746,-3,52.5,54.33222657,-5.295291656,-2.295291656,2.295291656,Over,USC,USC,26,42,Utah,Utah,Over,-3.813759113,17.48153254,3.813759113,17.48153254,Loss,Win,Loss,6
Bowling Green State,27.41195362,Akron,10.77789232,-14.5,46,38.18984594,-16.63406129,-2.134061293,2.134061293,Under,Bowling Green State,Bowling Green State,20,35,Akron,Akron,Over,-7.411953616,24.22210768,7.411953616,24.22210768,Loss,Loss,Loss,6
Florida International,23.07463258,Charlotte,28.33756074,3.5,60,51.41219332,5.262928163,1.762928163,1.762928163,Under,Charlotte,Charlotte,33,45,Charlotte,Charlotte,Over,9.925367422,16.66243926,9.925367422,16.66243926,Win,Loss,Win,6
Toledo,30.16937566,Northern Illinois,19.41586592,-12.5,52,49.58524158,-10.75350975,1.746490254,1.746490254,Under,Northern Illinois,Toledo,20,22,Northern Illinois,Northern Illinois,Under,-10.16937566,2.584134084,10.16937566,2.584134084,Win,Win,Loss,6
Florida,43.34715967,Vanderbilt,6.794274487,-38,59.5,50.14143416,-36.55288518,1.447114817,1.447114817,Under,Vanderbilt,Florida,42,0,Florida,Florida,Under,-1.34715967,-6.794274487,1.34715967,6.794274487,Loss,Win,Win,6
UCF,41.22735213,East Carolina,29.95394412,-10,67.5,71.18129625,-11.27340801,-1.273408014,1.273408014,Over,UCF,UCF,20,16,UCF,East Carolina,Under,-21.22735213,-13.95394412,21.22735213,13.95394412,Loss,Loss,Win,6
Ohio State,41.48542226,Maryland,21.73000785,-21,69,63.21543012,-19.75541441,1.244585587,1.244585587,Under,Maryland,Ohio State,66,17,Ohio State,Ohio State,Over,24.51457774,-4.730007851,24.51457774,4.730007851,Loss,Loss,Win,6
Rutgers,21.21690954,Michigan State,27.24730676,5,50,48.4642163,6.030397223,1.030397223,1.030397223,Under,Michigan State,Michigan State,13,31,Michigan State,Michigan State,Under,-8.216909539,3.752693238,8.216909539,3.752693238,Win,Win,Win,6
Baylor,21.94557558,West Virginia,17.98297116,-3,44.5,39.92854674,-3.962604425,-0.962604425,0.962604425,Under,Baylor,Baylor,45,20,Baylor,Baylor,Over,23.05442442,2.017028842,23.05442442,2.017028842,Win,Loss,Win,6
Louisville,31.35822126,Virginia,29.7238945,-2.5,69.5,61.08211577,-1.634326761,0.865673239,0.865673239,Under,Virginia,Louisville,33,34,Virginia,Virginia,Under,1.641778735,4.276105497,1.641778735,4.276105497,Win,Win,Loss,6
